plan_id,metric,label,baseline_delta,mean_delta,min_delta,max_delta,p2_5_delta,p97_5_delta,prob_same_sign_as_baseline
case01,ptv_d95,PTV D95,-0.4644331932067871,-0.5406221243051382,-0.8877849578857422,-0.31413698196411133,-0.8142126083374024,-0.343134880065918,1.0
case02,ptv_d95,PTV D95,-0.8814202785491929,-1.0089261275071364,-1.6365594863891602,-0.5829816341400154,-1.5037202739715578,-0.614563736915589,1.0
case03,ptv_d95,PTV D95,-1.5313379764556885,-2.022177897966825,-4.5277180671691895,-0.7038373947143555,-3.9688999176025392,-0.8036241531372073,1.0
case04,ptv_d95,PTV D95,-4.878332614898682,-6.000086065439077,-11.276864624023439,-2.8637896537780776,-10.093697681427003,-3.0701401042938246,1.0
case05,ptv_d95,PTV D95,-1.027446269989012,-1.3804716770465553,-3.7352550506591804,-0.6138396263122559,-3.106115016937256,-0.6871599197387697,1.0
case06,ptv_d95,PTV D95,-1.1152124404907227,-1.3240998414846568,-2.492076110839843,-0.5161412239074714,-2.283231048583984,-0.5842906475067142,1.0
case07,ptv_d95,PTV D95,-1.5126128196716326,-1.7832958294795114,-3.0553689956665018,-0.9355978965759277,-2.806910495758055,-0.9918465232849121,1.0
case08,ptv_d95,PTV D95,-0.9629755020141602,-1.5234145934765158,-4.442538261413574,-0.5573737144470226,-3.6930553627014167,-0.608360562324525,1.0
case09,ptv_d95,PTV D95,-0.49217643737792827,-0.8578404059776893,-2.3927047729492195,-0.18923816680908345,-2.0462857055664063,-0.22883598327636828,1.0
case10,ptv_d95,PTV D95,-1.2648487091064453,-1.7527309931241548,-3.943556785583496,-0.5841255187988281,-3.4793435096740724,-0.6613432407379152,1.0
case01,pvdr,PVDR,0.013803512560531361,0.013176405474479095,0.010585777169239696,0.016877524111652997,0.010764534246458513,0.016177115750121016,1.0
case02,pvdr,PVDR,0.020712146855580205,0.019492586917642073,0.015555617249528586,0.025323096902520215,0.015747536147876516,0.024368179512400553,1.0
case03,pvdr,PVDR,-0.18437104557717743,-0.17707888161238786,-0.2167749903747469,-0.1362237246037563,-0.21526541150612977,-0.13675460437422413,1.0
case04,pvdr,PVDR,0.21860399032211109,0.20492398932145667,0.16801583200803538,0.2597664455379409,0.17025239288284805,0.24965271710542017,1.0
case05,pvdr,PVDR,-0.1579601672378319,-0.15447190908147665,-0.18403098983717303,-0.11972975302672051,-0.18383649840638464,-0.12037979639866235,1.0
case06,pvdr,PVDR,0.022342190609217605,0.022223200970312086,0.0197389543394344,0.02570927882431917,0.01986205728687205,0.025702027346910027,1.0
case07,pvdr,PVDR,0.0369336645911702,0.03560726861073608,0.029392460332694714,0.04376851152926475,0.029874814191994135,0.04280650117466147,1.0
case08,pvdr,PVDR,-0.17971571612766102,-0.17309634540123858,-0.20813385508760573,-0.1338811142279508,-0.20790855176372863,-0.13509757826576102,1.0
case09,pvdr,PVDR,-0.1117796651300107,-0.10814235781143525,-0.1279113876764173,-0.0850766364349167,-0.1276863953431975,-0.08604573602208077,1.0
case10,pvdr,PVDR,-0.09862599934828453,-0.0967352624519508,-0.11280969472003588,-0.07484159898398413,-0.11246834262066518,-0.07610325442358866,1.0
case01,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,-0.29794754527041434,-0.3435718597022628,-0.5663068004660374,-0.19756192573602682,-0.5222048258243941,-0.2109060463410062,1.0
case02,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,-0.30637240382252884,-0.3498307110477196,-0.5638106204459135,-0.20139953018384738,-0.5243714325956983,-0.21496784033576,1.0
case03,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,-0.8212357247455593,-0.939347272084859,-1.498473889685556,-0.5186312023051727,-1.4133852525607806,-0.5611343537427858,1.0
case04,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,-1.9878408474197293,-2.1894752857466404,-3.399994650957421,-1.244107455652287,-3.219704851911641,-1.3348291342799292,1.0
case05,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,-0.6980969485114592,-0.7933853456232753,-1.2618120393660206,-0.4457429809720974,-1.182095586532159,-0.4815044116059076,1.0
case06,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,-0.5924355094759797,-0.6823023530543407,-1.1063752434565046,-0.3918620768179668,-1.0309450508768485,-0.41584055439347895,1.0
case07,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,-0.7269078849666784,-0.8399581724337979,-1.3667764856214788,-0.4851262316393079,-1.2708934227613742,-0.518700367501604,1.0
case08,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,-0.7330056994471228,-0.837720365510378,-1.340440851040647,-0.4680461846121471,-1.2562922642385352,-0.5058472203802956,1.0
case09,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,-0.26173603028862047,-0.29728787462079187,-0.4702698096622626,-0.16159730758350754,-0.4436848487273998,-0.17745165156593168,1.0
case10,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,-0.44228567524075046,-0.5037268882411328,-0.7954868533132711,-0.27815043544891793,-0.7509469453256876,-0.3032030990362924,1.0
case01,spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,-0.2658200724835673,-0.3088463940660195,-0.5072852837569783,-0.1768519190767286,-0.46915439107283985,-0.1900508164865155,1.0
case02,spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,-0.24498035581574484,-0.28486193195977927,-0.46448853793966904,-0.16038948579935663,-0.43352503341995535,-0.17377285380480267,1.0
case03,spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,-0.3858660930057738,-0.45339819740166504,-0.7342950579805212,-0.2493470751050335,-0.6952493461290142,-0.2727472360063427,1.0
case04,spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,-0.6342287498278871,-0.7116744920900362,-1.104367290656576,-0.3892833919165106,-1.0408260092366137,-0.4332034221004114,1.0
case05,spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,-0.3778627422120824,-0.43851227975806234,-0.7068176244959936,-0.24718316852950473,-0.6633744057211522,-0.2688248228911615,1.0
case06,spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,-0.4526742737635381,-0.5271450521087927,-0.8559469890672844,-0.30010660086307084,-0.801721233212762,-0.32325024624744203,1.0
case07,spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,-0.7321068494348673,-0.8529056534999537,-1.3914855062919287,-0.49164107218402364,-1.2948584798890033,-0.5278429544237111,1.0
case08,spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,-0.5110324649271121,-0.5934384932439021,-0.956472133802361,-0.33834612672880304,-0.8965228066714225,-0.3666126078269889,1.0
case09,spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,-0.27576638233949424,-0.3226818497813601,-0.5341634800076989,-0.17917092023029468,-0.49649671327415523,-0.1939436172824726,1.0
case10,spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,-0.1996034626567038,-0.23324815889833553,-0.3748270813241774,-0.12821453038262298,-0.3546073172709033,-0.14099958458373618,1.0
case01,cord_d2,Cord D2,-0.11736476898193438,-0.13398787865271972,-0.2229175567626953,-0.07193618774414023,-0.21298787307739264,-0.07277653884887636,1.0
case02,cord_d2,Cord D2,-0.08727043151855618,-0.09475257286658767,-0.1339673614501926,-0.04218929290771456,-0.13098816680908065,-0.04449890518188547,1.0
case03,cord_d2,Cord D2,-0.18304946899414176,-0.21809197059044402,-0.32209747314453097,-0.09303428649902656,-0.3143574676513687,-0.09728015899658261,1.0
case04,cord_d2,Cord D2,-0.21825241088866676,-0.22272676321176377,-0.32367233276367813,-0.09544494628906008,-0.31621691894531595,-0.10331477355956872,1.0
case05,cord_d2,Cord D2,-0.18909469604491846,-0.1956302466759309,-0.27999023437499915,-0.07823547363281236,-0.2765679931640612,-0.09108714294433579,1.0
case06,cord_d2,Cord D2,-0.14232437133788878,-0.13993764143723786,-0.1919586181640618,-0.062062339782714915,-0.18874193572998052,-0.06942957687377975,1.0
case07,cord_d2,Cord D2,-0.0979618835449223,-0.1249136176476112,-0.1973714447021493,-0.039032745361328836,-0.1924552230834955,-0.04504526519775497,1.0
case08,cord_d2,Cord D2,-0.2104071044921838,-0.1975062854473401,-0.30236419677734006,-0.07099136352539048,-0.2952850646972621,-0.08688267517089625,1.0
case09,cord_d2,Cord D2,-0.33246070861815724,-0.2291519986666165,-0.45102447509764687,-0.06061096191406534,-0.4154553451538,-0.08011446380615514,1.0
case10,cord_d2,Cord D2,-0.1403350830078125,-0.18329581627479014,-0.2652749633789071,-0.05273376464843693,-0.26524845886230536,-0.060123329162596675,1.0
case01,brainstem_d2,Brainstem D2,-0.17364517211913721,-0.20628944103534386,-0.36736091613769517,-0.10620979309082124,-0.34409356689453074,-0.11831547927856526,1.0
case02,brainstem_d2,Brainstem D2,-0.22030723571777244,-0.20118363600510955,-0.2959629821777341,-0.07559730529785469,-0.29404323577880936,-0.08738952636718873,1.0
case03,brainstem_d2,Brainstem D2,-0.46576049804687614,-0.48611635648287405,-0.7222079467773455,-0.2538495635986351,-0.699090881347658,-0.2743195190429699,1.0
case04,brainstem_d2,Brainstem D2,-0.049589233398435795,-0.08190180851862895,-0.17723037719726165,-0.030449752807616193,-0.15598377990722412,-0.03619159698486209,1.0
case05,brainstem_d2,Brainstem D2,-0.3415797424316409,-0.3698083848219645,-0.5396484374999986,-0.09010078430175739,-0.5318615570068352,-0.10640868377685461,1.0
case06,brainstem_d2,Brainstem D2,-0.3316612243652344,-0.4211667955838714,-0.6844602203369128,-0.2711204910278333,-0.6405271987915029,-0.28500893783569486,1.0
