parameter,corr_rank_changes_vs_physical,corr_rank_changes_vs_no_sink,corr_brainstem_flag_count,corr_mean_abs_pvdr_delta,max_abs_corr,dominant_outcome
scaling_factor,0.565170241407131,0.024435070055062864,0.8109877926613561,0.5995360970163262,0.8109877926613561,brainstem_flag_count
emax_cyto,0.6389167192160828,0.2109342787211005,0.7416226922995633,0.5236085107254353,0.7416226922995633,brainstem_flag_count
hypoxic_cytokine_multiplier,0.6451794306654599,-0.2668364807602499,0.25672251909787014,0.6986235537167657,0.6986235537167657,mean_abs_pvdr_delta
emax_ros,0.19119795969198602,0.6350924954010494,0.5265705066311608,-0.22996772495024526,0.6350924954010494,rank_changes_vs_no_sink
diffusion_cyto,-0.08543666800915563,0.4781659789889514,-0.154256355618259,-0.33848763793376135,0.4781659789889514,rank_changes_vs_no_sink
gamma,0.45789387400968123,0.47110165054516323,0.47282151848923143,0.16882048302038685,0.47282151848923143,brainstem_flag_count
artery_cyto_uptake,0.2725399545204444,-0.09290361814959208,0.38333186991241325,0.45549848565978823,0.45549848565978823,mean_abs_pvdr_delta
vein_cyto_uptake,0.2725399545204444,-0.09290361814959203,0.3833318699124132,0.4554984856597881,0.4554984856597881,mean_abs_pvdr_delta
artery_ros_uptake,0.2725399545204444,-0.09290361814959203,0.38333186991241314,0.45549848565978807,0.45549848565978807,mean_abs_pvdr_delta
vein_ros_uptake,0.2725399545204444,-0.09290361814959203,0.38333186991241314,0.45549848565978807,0.45549848565978807,mean_abs_pvdr_delta
weight_cyto,-0.31265518485123756,0.4550396382799197,-0.17958701166858704,-0.06652484465896663,0.4550396382799197,rank_changes_vs_no_sink
weight_ros,0.31265518485123756,-0.4550396382799195,0.17958701166858712,0.06652484465896663,0.4550396382799195,rank_changes_vs_no_sink
decay_cyto,0.16442447388277512,0.14974022398256318,0.4304562946700295,0.06835593842354869,0.4304562946700295,brainstem_flag_count
hypoxic_ros_scale,-0.2193543160633346,0.3759245892560195,-0.0005375701402684333,-0.12047030548288468,0.3759245892560195,rank_changes_vs_no_sink
decay_ros,-0.2944089852322339,-0.3472226447604866,-0.28355403940449947,-0.048961606906179816,0.3472226447604866,rank_changes_vs_no_sink
diffusion_ros,-0.22018420279902523,0.04990787235457458,-0.01729492204250198,-0.1683111178891253,0.22018420279902523,rank_changes_vs_physical
alpha,1.18687833744435e-16,-1.801760576144627e-16,1.9459014222361977e-16,2.4937133762783343e-15,2.4937133762783343e-15,mean_abs_pvdr_delta
beta,1.18687833744435e-16,-1.6215845185301648e-16,1.6215845185301648e-16,2.4937133762783343e-15,2.4937133762783343e-15,mean_abs_pvdr_delta
pde_dt,1.18687833744435e-16,-1.801760576144627e-16,1.9459014222361977e-16,2.4937133762783343e-15,2.4937133762783343e-15,mean_abs_pvdr_delta
weight_immune,0.0,0.0,0.0,0.0,0.0,none
tumor_cytokine_multiplier,0.0,0.0,0.0,0.0,0.0,none
pde_steps,0.0,0.0,0.0,0.0,0.0,none
