parameter,baseline,lower,upper,sampling
gamma,0.35,0.26249999999999996,0.4375,linear
s,0.0029365813,0.00146829065,0.0058731626,log
D_ROS,0.8,0.6000000000000001,1.08,linear
D_cyto,1.2,0.8999999999999999,1.62,linear
lambda_ROS,0.2,0.1,0.4,log
lambda_cyto,0.001,0.0005,0.002,log
Emax_ROS,1.5,1.125,2.0250000000000004,linear
Emax_cyto,0.8,0.6000000000000001,1.08,linear
w_ROS share,0.5,0.35,0.65,linear
Hypoxic ROS scale,0.12,0.06,0.18,linear
Hypoxic cytokine multiplier,2.7,1.89,3.5100000000000002,linear
Global vascular uptake scale,1.0,0.5,1.5,linear
