plan_id,baseline_with_sink_rank,rank_mean,rank_median,rank_min,rank_max,prob_same_rank,prob_top3,prob_bottom3
case01,1,1.0,1.0,1,1,1.0,1.0,0.0
case02,2,2.230769230769231,2.0,2,3,0.7692307692307693,1.0,0.0
case03,8,8.538461538461538,9.0,8,9,0.46153846153846156,0.0,1.0
case04,4,4.0,4.0,4,4,1.0,0.0,0.0
case05,6,6.0,6.0,6,6,1.0,0.0,0.0
case06,5,5.0,5.0,5,5,1.0,0.0,0.0
case07,3,2.769230769230769,3.0,2,3,0.7692307692307693,1.0,0.0
case08,7,7.0,7.0,7,7,1.0,0.0,0.0
case09,9,8.461538461538462,8.0,8,9,0.46153846153846156,0.0,1.0
case10,10,10.0,10.0,10,10,1.0,0.0,1.0
