sample_id,plan_id,metric,label,physical_value,no_sink_value,with_sink_value,delta
baseline,case01,ptv_d95,PTV D95,3.5000001788139343,16.865167140960693,16.400733947753906,-0.4644331932067871
baseline,case01,pvdr,PVDR,1.7942250613848219,1.6058159783424355,1.6196194909029669,0.013803512560531361
baseline,case01,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,7.1248379276762455,20.024691478641714,19.7267439333713,-0.29794754527041434
baseline,case01,spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,5.551478219009564,16.269911766020353,16.004091693536786,-0.2658200724835673
baseline,case01,cord_d2,Cord D2,1.6935659074783322,10.76379467010498,10.646429901123046,-0.11736476898193438
baseline,case01,brainstem_d2,Brainstem D2,4.724041156768799,17.4953596496582,17.321714477539064,-0.17364517211913721
baseline,case01,parotid_r_mean,Parotid R mean,4.527316856745518,14.301579094896413,13.89091404134577,-0.41066505355064287
baseline,case02,ptv_d95,PTV D95,3.5,16.86133403778076,15.979913759231568,-0.8814202785491929
baseline,case02,pvdr,PVDR,1.7966069888665888,1.6222734504873264,1.6429855973429066,0.020712146855580205
baseline,case02,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,7.571629834635082,20.69396643304365,20.38759402922112,-0.30637240382252884
baseline,case02,spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,6.350267394972314,17.295261671790747,17.050281315975003,-0.24498035581574484
baseline,case02,cord_d2,Cord D2,4.304217872619628,15.706624832153313,15.619354400634757,-0.08727043151855618
baseline,case02,brainstem_d2,Brainstem D2,7.62433998107911,23.026473617553712,22.80616638183594,-0.22030723571777244
baseline,case02,parotid_r_mean,Parotid R mean,0.21397229129015796,3.0743633219690034,2.9041114118364124,-0.170251910132591
baseline,case03,ptv_d95,PTV D95,3.5000001192092896,17.19027090072632,15.65893292427063,-1.5313379764556885
baseline,case03,pvdr,PVDR,1.6557359939167076,1.5332209827228105,1.348849937145633,-0.18437104557717743
baseline,case03,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,7.893605106264787,21.13110073846459,20.30986501371903,-0.8212357247455593
baseline,case03,spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,6.3122657820646655,17.186099810818778,16.800233717813004,-0.3858660930057738
baseline,case03,cord_d2,Cord D2,18.599873275756835,39.81379409790039,39.63074462890625,-0.18304946899414176
baseline,case03,brainstem_d2,Brainstem D2,18.5877791595459,39.08283203125,38.617071533203124,-0.46576049804687614
baseline,case03,parotid_r_mean,Parotid R mean,4.715152071943186,17.71720634036594,16.627276455272327,-1.089929885093614
baseline,case04,ptv_d95,PTV D95,3.4999999046325683,16.540505409240723,11.662172794342041,-4.878332614898682
baseline,case04,pvdr,PVDR,1.9199070266211269,1.4328145685805087,1.6514185589026198,0.21860399032211109
baseline,case04,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,6.1157045766817415,20.24508835003665,18.25724750261692,-1.9878408474197293
baseline,case04,spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,3.8142536735420576,14.102773193528407,13.46854444370052,-0.6342287498278871
baseline,case04,cord_d2,Cord D2,12.86361804962158,34.65096496582031,34.43271255493164,-0.21825241088866676
baseline,case04,brainstem_d2,Brainstem D2,26.443986892700195,33.656449737548826,33.60686050415039,-0.049589233398435795
baseline,case04,parotid_r_mean,Parotid R mean,3.353234562127277,13.374595951311516,12.504834422679863,-0.8697615286316527
baseline,case05,ptv_d95,PTV D95,3.4999999046325683,16.80250301361084,15.775056743621827,-1.027446269989012
baseline,case05,pvdr,PVDR,2.0117584786890403,1.546760004593117,1.388799837355285,-0.1579601672378319
