sample_id,plan_id,physical_rank,no_sink_rank,with_sink_rank,with_sink_vs_physical_shift,with_sink_vs_no_sink_shift
baseline,case01,2,1,1,-1,0
baseline,case02,3,3,2,-1,-1
baseline,case03,9,8,8,-1,0
baseline,case04,4,4,4,0,0
baseline,case05,5,5,6,1,1
baseline,case06,7,6,5,-2,-1
baseline,case07,1,2,3,2,1
baseline,case08,8,7,7,-1,0
baseline,case09,6,9,9,3,0
baseline,case10,10,10,10,0,0
sample_001,case01,2,1,1,-1,0
sample_001,case02,3,3,3,0,0
sample_001,case03,9,8,8,-1,0
sample_001,case04,4,4,4,0,0
sample_001,case05,5,5,6,1,1
sample_001,case06,7,6,5,-2,-1
sample_001,case07,1,2,2,1,0
sample_001,case08,8,7,7,-1,0
sample_001,case09,6,9,9,3,0
sample_001,case10,10,10,10,0,0
sample_002,case01,2,1,1,-1,0
sample_002,case02,3,2,2,-1,0
sample_002,case03,9,9,9,0,0
sample_002,case04,4,4,4,0,0
sample_002,case05,5,5,6,1,1
sample_002,case06,7,6,5,-2,-1
sample_002,case07,1,3,3,2,0
sample_002,case08,8,7,7,-1,0
sample_002,case09,6,8,8,2,0
sample_002,case10,10,10,10,0,0
sample_003,case01,2,1,1,-1,0
sample_003,case02,3,3,3,0,0
sample_003,case03,9,8,8,-1,0
sample_003,case04,4,4,4,0,0
sample_003,case05,5,5,6,1,1
sample_003,case06,7,6,5,-2,-1
sample_003,case07,1,2,2,1,0
sample_003,case08,8,7,7,-1,0
sample_003,case09,6,9,9,3,0
sample_003,case10,10,10,10,0,0
sample_004,case01,2,1,1,-1,0
sample_004,case02,3,2,2,-1,0
sample_004,case03,9,8,8,-1,0
sample_004,case04,4,4,4,0,0
sample_004,case05,5,5,6,1,1
sample_004,case06,7,6,5,-2,-1
sample_004,case07,1,3,3,2,0
sample_004,case08,8,7,7,-1,0
sample_004,case09,6,9,9,3,0
sample_004,case10,10,10,10,0,0
sample_005,case01,2,1,1,-1,0
sample_005,case02,3,3,3,0,0
sample_005,case03,9,9,9,0,0
sample_005,case04,4,4,4,0,0
sample_005,case05,5,5,6,1,1
sample_005,case06,7,6,5,-2,-1
sample_005,case07,1,2,2,1,0
sample_005,case08,8,7,7,-1,0
sample_005,case09,6,8,8,2,0
sample_005,case10,10,10,10,0,0
sample_006,case01,2,1,1,-1,0
sample_006,case02,3,2,2,-1,0
sample_006,case03,9,9,9,0,0
sample_006,case04,4,4,4,0,0
sample_006,case05,5,5,6,1,1
sample_006,case06,7,7,5,-2,-2
sample_006,case07,1,3,3,2,0
sample_006,case08,8,6,7,-1,1
sample_006,case09,6,8,8,2,0
sample_006,case10,10,10,10,0,0
sample_007,case01,2,1,1,-1,0
sample_007,case02,3,3,2,-1,-1
sample_007,case03,9,9,9,0,0
sample_007,case04,4,4,4,0,0
sample_007,case05,5,5,6,1,1
sample_007,case06,7,6,5,-2,-1
sample_007,case07,1,2,3,2,1
sample_007,case08,8,7,7,-1,0
sample_007,case09,6,8,8,2,0
sample_007,case10,10,10,10,0,0
sample_008,case01,2,1,1,-1,0
sample_008,case02,3,2,2,-1,0
sample_008,case03,9,8,9,0,1
sample_008,case04,4,4,4,0,0
sample_008,case05,5,5,6,1,1
sample_008,case06,7,6,5,-2,-1
sample_008,case07,1,3,3,2,0
sample_008,case08,8,7,7,-1,0
sample_008,case09,6,9,8,2,-1
sample_008,case10,10,10,10,0,0
sample_009,case01,2,1,1,-1,0
sample_009,case02,3,3,2,-1,-1
sample_009,case03,9,8,8,-1,0
sample_009,case04,4,4,4,0,0
sample_009,case05,5,5,6,1,1
sample_009,case06,7,7,5,-2,-2
sample_009,case07,1,2,3,2,1
sample_009,case08,8,6,7,-1,1
sample_009,case09,6,9,9,3,0
sample_009,case10,10,10,10,0,0
sample_010,case01,2,1,1,-1,0
sample_010,case02,3,2,2,-1,0
sample_010,case03,9,9,9,0,0
sample_010,case04,4,4,4,0,0
sample_010,case05,5,5,6,1,1
sample_010,case06,7,7,5,-2,-2
sample_010,case07,1,3,3,2,0
sample_010,case08,8,6,7,-1,1
sample_010,case09,6,8,8,2,0
sample_010,case10,10,10,10,0,0
sample_011,case01,2,1,1,-1,0
sample_011,case02,3,3,2,-1,-1
sample_011,case03,9,8,9,0,1
sample_011,case04,4,4,4,0,0
sample_011,case05,5,5,6,1,1
sample_011,case06,7,6,5,-2,-1
sample_011,case07,1,2,3,2,1
sample_011,case08,8,7,7,-1,0
sample_011,case09,6,9,8,2,-1
sample_011,case10,10,10,10,0,0
sample_012,case01,2,1,1,-1,0
sample_012,case02,3,3,2,-1,-1
sample_012,case03,9,8,8,-1,0
sample_012,case04,4,4,4,0,0
sample_012,case05,5,5,6,1,1
sample_012,case06,7,6,5,-2,-1
sample_012,case07,1,2,3,2,1
sample_012,case08,8,7,7,-1,0
sample_012,case09,6,9,9,3,0
sample_012,case10,10,10,10,0,0
