uptake_scale,metric,label,mean_delta,min_delta,max_delta
0.0,pvdr,PVDR,0.0,0.0,0.0
0.0,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,0.0,0.0,0.0
0.0,brainstem_d2,Brainstem D2,0.0,0.0,0.0
0.0,parotid_r_mean,Right parotid mean,0.0,0.0,0.0
0.25,pvdr,PVDR,-0.02433856102857055,-0.10652794176466673,0.1210706883483097
0.25,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,-0.411861667811608,-1.2275899886518644,-0.15318057238849647
0.25,brainstem_d2,Brainstem D2,-0.24466802978515573,-0.7865925598144585,-0.025941467285150566
0.25,parotid_r_mean,Right parotid mean,-0.5501978370878431,-0.8649391925696186,-0.10868471270859859
0.5,pvdr,PVDR,-0.03383109126705171,-0.14595403831099651,0.17168633126773214
0.5,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,-0.5599074329977121,-1.6439953304809514,-0.21090987573925446
0.5,brainstem_d2,Brainstem D2,-0.3385888137817375,-1.0642132568359415,-0.03799301147460454
0.5,parotid_r_mean,Right parotid mean,-0.7335167719860275,-1.153835560577086,-0.14296596002097095
0.75,pvdr,PVDR,-0.0388794133605445,-0.16847469319385344,0.20008830488304308
0.75,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,-0.6377425017800554,-1.8564328389892673,-0.24195732032337958
0.75,brainstem_d2,Brainstem D2,-0.4024188995361321,-1.2304885864257855,-0.044994201660152555
0.75,parotid_r_mean,Right parotid mean,-0.8261448294947847,-1.2995311659995963,-0.1599408026897544
1.0,pvdr,PVDR,-0.04200570884823551,-0.18437104557717743,0.21860399032211109
1.0,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,-0.6867864269188843,-1.9878408474197293,-0.26173603028862047
1.0,brainstem_d2,Brainstem D2,-0.44883190155029273,-1.370623321533209,-0.049589233398435795
1.0,parotid_r_mean,Right parotid mean,-0.8827956836633006,-1.3883621485546378,-0.170251910132591
1.25,pvdr,PVDR,-0.044124621146762036,-0.19550730563372265,0.23180725561670945
1.25,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,-0.721105902733353,-2.0786178845407868,-0.2756393377255293
1.25,brainstem_d2,Brainstem D2,-0.48013504028320286,-1.449606781005862,-0.05478286743163352
1.25,parotid_r_mean,Right parotid mean,-0.9213712650356871,-1.4486368911434901,-0.17726436720954064
1.5,pvdr,PVDR,-0.045649259721986815,-0.20376043357461504,0.24180026442702873
1.5,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,-0.7468157181831927,-2.1459566120438787,-0.28606117264352804
1.5,brainstem_d2,Brainstem D2,-0.5020862884521481,-1.5083354187011722,-0.059225158691404545
1.5,parotid_r_mean,Right parotid mean,-0.9495041928628476,-1.4924302727285053,-0.18238596627206505
2.0,pvdr,PVDR,-0.04768133095327909,-0.215202184329357,0.25612209416011544
2.0,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,-0.783453404602352,-2.2408737940912857,-0.30086199477695885
2.0,brainstem_d2,Brainstem D2,-0.5274033050537102,-1.590122375488285,-0.06544219970702869
2.0,parotid_r_mean,Right parotid mean,-0.9880686248191681,-1.552126258310647,-0.18943722537069618
