parameter,corr_rank_changes_vs_physical,corr_rank_changes_vs_no_sink,corr_brainstem_flag_count,corr_mean_abs_pvdr_delta,max_abs_corr,dominant_outcome
scaling_factor,0.32728967597941444,0.23045363362753127,0.7997956708891205,0.5259830465720245,0.7997956708891205,brainstem_flag_count
emax_ros,0.29883568934313587,0.7477599561281464,0.35490238451355677,-0.22074510494335065,0.7477599561281464,rank_changes_vs_no_sink
hypoxic_cytokine_multiplier,0.03436802513573545,-0.5902985126413803,0.21935968287722402,0.6640713728308096,0.6640713728308096,mean_abs_pvdr_delta
emax_cyto,0.2808069276150026,0.029406230528232075,0.6357579603350397,0.5199595327342523,0.6357579603350397,brainstem_flag_count
decay_ros,-0.5757177019486532,-0.30039036478457304,-0.3024765842274867,0.05630080176647075,0.5757177019486532,rank_changes_vs_physical
diffusion_cyto,0.4268296761894979,0.4351307177318092,-0.18776495357379258,-0.3867320108293548,0.4351307177318092,rank_changes_vs_no_sink
decay_cyto,0.3183888199645716,0.38146078462300076,0.4223785556984511,-0.05456823692380712,0.4223785556984511,brainstem_flag_count
artery_cyto_uptake,0.22574631891107544,0.04591155480427825,0.4038257480685271,0.29934468889012994,0.4038257480685271,brainstem_flag_count
vein_cyto_uptake,0.22574631891107544,0.04591155480427826,0.4038257480685271,0.2993446888901299,0.4038257480685271,brainstem_flag_count
artery_ros_uptake,0.22574631891107558,0.04591155480427818,0.40382574806852706,0.29934468889012994,0.40382574806852706,brainstem_flag_count
vein_ros_uptake,0.22574631891107558,0.04591155480427818,0.40382574806852706,0.29934468889012994,0.40382574806852706,brainstem_flag_count
gamma,0.27115317658205984,0.25153621732463266,0.2075586687613336,0.25215062574356256,0.27115317658205984,rank_changes_vs_physical
diffusion_ros,-0.1461660862941282,0.2402533339730637,-0.18927960385337889,-0.20590012779710662,0.2402533339730637,rank_changes_vs_no_sink
weight_cyto,0.21002465116832972,-0.12874648062268396,0.027782559476803814,0.10374161882512388,0.21002465116832972,rank_changes_vs_physical
weight_ros,-0.21002465116832963,0.12874648062268407,-0.02778255947680386,-0.10374161882512395,0.21002465116832963,rank_changes_vs_physical
hypoxic_ros_scale,0.022928617700445766,-0.020765833609871515,-0.048602474413141486,-0.17817802597849042,0.17817802597849042,mean_abs_pvdr_delta
alpha,1.470123380546738e-16,1.0221784976643918e-16,3.647696092637989e-17,-1.6053265735538102e-16,1.6053265735538102e-16,mean_abs_pvdr_delta
beta,1.470123380546738e-16,1.0221784976643918e-16,-1.367886034739246e-17,-1.6053265735538102e-16,1.6053265735538102e-16,mean_abs_pvdr_delta
pde_dt,1.470123380546738e-16,1.0221784976643918e-16,3.647696092637989e-17,-1.6053265735538102e-16,1.6053265735538102e-16,mean_abs_pvdr_delta
weight_immune,0.0,0.0,0.0,0.0,0.0,none
tumor_cytokine_multiplier,0.0,0.0,0.0,0.0,0.0,none
pde_steps,0.0,0.0,0.0,0.0,0.0,none
