plan_id,baseline_with_sink_vs_physical_shift,baseline_with_sink_vs_no_sink_shift,prob_nonzero_with_sink_vs_physical_shift,prob_same_sign_with_sink_vs_physical_shift,prob_nonzero_with_sink_vs_no_sink_shift,prob_same_sign_with_sink_vs_no_sink_shift
case01,-1,0,1.0,1.0,0.0,1.0
case02,-1,0,0.7692307692307693,0.7692307692307693,0.3076923076923077,0.6923076923076923
case03,0,0,0.07692307692307693,0.9230769230769231,0.3076923076923077,0.6923076923076923
case04,0,0,0.07692307692307693,0.9230769230769231,0.0,1.0
case05,1,1,1.0,1.0,1.0,1.0
case06,-2,-1,1.0,1.0,1.0,1.0
case07,2,0,1.0,1.0,0.3076923076923077,0.6923076923076923
case08,0,0,0.46153846153846156,0.5384615384615384,0.5384615384615384,0.46153846153846156
case09,1,0,1.0,1.0,0.6923076923076923,0.3076923076923077
case10,0,0,0.07692307692307693,0.9230769230769231,0.3076923076923077,0.6923076923076923
