plan_id,baseline_with_sink_rank,rank_mean,rank_median,rank_min,rank_max,prob_same_rank,prob_top3,prob_bottom3
case01,1,1.0,1.0,1,1,1.0,1.0,0.0
case02,2,2.230769230769231,2.0,2,3,0.7692307692307693,1.0,0.0
case03,9,9.076923076923077,9.0,9,10,0.9230769230769231,0.0,1.0
case04,4,3.923076923076923,4.0,3,4,0.9230769230769231,0.07692307692307693,0.0
case05,6,6.0,6.0,6,6,1.0,0.0,0.0
case06,5,5.0,5.0,5,5,1.0,0.0,0.0
case07,3,2.8461538461538463,3.0,2,4,0.6923076923076923,0.9230769230769231,0.0
case08,8,7.538461538461538,8.0,7,8,0.5384615384615384,0.0,0.5384615384615384
case09,7,7.461538461538462,7.0,7,8,0.5384615384615384,0.0,0.46153846153846156
case10,10,9.923076923076923,10.0,9,10,0.9230769230769231,0.0,1.0
