sample_id,plan_id,metric,label,physical_value,no_sink_value,with_sink_value,delta
baseline,case01,ptv_d95,PTV D95,3.5000001788139343,16.592122077941895,16.14116668701172,-0.4509553909301758
baseline,case01,pvdr,PVDR,1.7942250613848219,1.3303374866449957,1.3421897646327299,0.011852277987734139
baseline,case01,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,7.1248379276762455,19.718666760049963,19.426189255887184,-0.29247750416277896
baseline,case01,spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,5.551478219009564,16.220888005619535,15.957610606349883,-0.26327739926965243
baseline,case01,cord_d2,Cord D2,1.6935659074783322,10.759014434814453,10.645775260925292,-0.11323917388916094
baseline,case01,brainstem_d2,Brainstem D2,4.724041156768799,17.231941528320313,17.081712951660155,-0.1502285766601581
baseline,case01,parotid_r_mean,Parotid R mean,4.527316856745518,14.286531404052118,13.875902008287834,-0.4106293957642837
baseline,case02,ptv_d95,PTV D95,3.5,16.596606636047362,15.768522453308105,-0.8280841827392571
baseline,case02,pvdr,PVDR,1.7966069888665888,1.319217039888552,1.3354261708585893,0.016209130970037178
baseline,case02,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,7.571629834635082,20.261222883512737,19.97876433001454,-0.2824585534981985
baseline,case02,spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,6.350267394972314,17.21756796449732,16.97930828863726,-0.23825967586006058
baseline,case02,cord_d2,Cord D2,4.304217872619628,15.665300598144523,15.584071197509758,-0.08122940063476491
baseline,case02,brainstem_d2,Brainstem D2,7.62433998107911,21.531087265014648,21.39621810913086,-0.13486915588378778
baseline,case02,parotid_r_mean,Parotid R mean,0.21397229129015796,3.0743512538948443,2.9040995409994412,-0.17025171289540308
baseline,case03,ptv_d95,PTV D95,3.5000001192092896,16.57510995864868,15.286704063415527,-1.2884058952331543
baseline,case03,pvdr,PVDR,1.6557359939167076,1.283311800651303,1.1740584379520114,-0.10925336269929153
baseline,case03,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,7.893605106264787,20.518402559674026,19.81004970825187,-0.7083528514221555
baseline,case03,spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,6.3122657820646655,17.092939234731013,16.72682337660674,-0.3661158581242745
baseline,case03,cord_d2,Cord D2,18.599873275756835,30.869150314331055,30.781436080932615,-0.0877142333984402
baseline,case03,brainstem_d2,Brainstem D2,18.5877791595459,31.27781135559082,31.063139572143555,-0.21467178344726534
baseline,case03,parotid_r_mean,Parotid R mean,4.715152071943186,16.900974641665062,16.129251688176936,-0.7717229534881263
baseline,case04,ptv_d95,PTV D95,3.4999999046325683,15.946506595611572,11.557587909698487,-4.388918685913085
baseline,case04,pvdr,PVDR,1.9199070266211269,1.309810749540563,1.4726159340588587,0.16280518451829562
baseline,case04,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,6.1157045766817415,18.906713711394268,17.318439230782968,-1.5882744806113003
baseline,case04,spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,3.8142536735420576,13.786072315802631,13.2360307128498,-0.550041602952831
baseline,case04,cord_d2,Cord D2,12.86361804962158,26.9487833404541,26.836784667968747,-0.11199867248535256
baseline,case04,brainstem_d2,Brainstem D2,26.443986892700195,33.442960815429686,33.3788558959961,-0.0641049194335892
baseline,case04,parotid_r_mean,Parotid R mean,3.353234562127277,13.14375410079956,12.442942417992485,-0.7008116828070747
baseline,case05,ptv_d95,PTV D95,3.4999999046325683,16.378916549682618,15.316384601593018,-1.0625319480895996
baseline,case05,pvdr,PVDR,2.0117584786890403,1.3373196558448763,1.2337319949045922,-0.10358766094028415
baseline,case05,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,6.226131111328786,19.240007847686265,18.625379828879385,-0.6146280188068793
baseline,case05,spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,4.913785900432322,15.924955215495054,15.563004765239251,-0.36195045025580264
baseline,case05,cord_d2,Cord D2,17.382209701538084,29.0219873046875,28.89886489868164,-0.12312240600585866
baseline,case05,brainstem_d2,Brainstem D2,10.529837722778321,26.7155403137207,26.52142364501953,-0.19411666870117017
baseline,case05,parotid_r_mean,Parotid R mean,7.717367107699616,21.359469288527364,20.608111890157065,-0.751357398370299
baseline,case06,ptv_d95,PTV D95,3.499999833106995,16.295994567871094,15.424213027954101,-0.8717815399169933
baseline,case06,pvdr,PVDR,1.7061907148943334,1.2246779944083792,1.2460151176154075,0.021337123207028297
baseline,case06,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,7.543073716337961,20.388652419558262,19.84719120870724,-0.541461210851022
baseline,case06,spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,6.422456015930188,17.669132993104984,17.23169880635692,-0.4374341867480638
baseline,case06,cord_d2,Cord D2,5.403743743896482,17.057638473510742,16.944684600830076,-0.11295387268066648
baseline,case06,brainstem_d2,Brainstem D2,6.732566375732423,18.34265724182129,17.962228927612305,-0.3804283142089844
baseline,case06,parotid_r_mean,Parotid R mean,5.246605821811792,19.01815072261926,18.37793348485773,-0.6402172377615294
baseline,case07,ptv_d95,PTV D95,3.5000000953674317,16.43823661804199,14.987488842010498,-1.450747776031493
baseline,case07,pvdr,PVDR,2.1613267665900513,1.3677534899861903,1.401152957085665,0.03339946709947461
baseline,case07,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,6.415503504528602,19.424433926897585,18.720794601010095,-0.7036393258874902
baseline,case07,spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,5.824338141293821,16.9519678062656,16.2288996850962,-0.7230681211694012
baseline,case07,cord_d2,Cord D2,9.003155403137207,20.310984573364255,20.21497749328613,-0.09600708007812386
baseline,case07,brainstem_d2,Brainstem D2,8.335540504455567,19.92418960571289,19.72365379333496,-0.20053581237792883
baseline,case07,parotid_r_mean,Parotid R mean,3.8203198885676835,14.783933421818897,14.255865263698077,-0.5280681581208206
baseline,case08,ptv_d95,PTV D95,3.500000047683716,16.832314586639406,15.900502300262453,-0.9318122863769531
baseline,case08,pvdr,PVDR,1.6140858790872068,1.260739235535916,1.1516450485322713,-0.1090941870036446
baseline,case08,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,7.966978740692139,20.319915211504778,19.667556953430175,-0.652358258074603
baseline,case08,spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,6.200121616227579,17.131389718807895,16.63472401019757,-0.4966657086103261
baseline,case08,cord_d2,Cord D2,12.02076622009277,27.265008087158204,27.133931503295898,-0.13107658386230625
baseline,case08,brainstem_d2,Brainstem D2,10.299411087036132,24.370482177734377,24.018264617919925,-0.35221755981445213
baseline,case08,parotid_r_mean,Parotid R mean,9.591219079374063,23.515005974817758,22.790167845138395,-0.7248381296793625
baseline,case09,ptv_d95,PTV D95,3.5000001430511474,16.807392883300782,16.452684783935545,-0.3547080993652365
baseline,case09,pvdr,PVDR,1.8639824157560045,1.2616252610423175,1.1877084763216557,-0.07391678472066188
baseline,case09,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,7.143698386991114,19.973212837003064,19.74805177096754,-0.22516106603552544
baseline,case09,spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,6.54102773662969,17.688724303705303,17.41984906757064,-0.2688752361346616
baseline,case09,cord_d2,Cord D2,11.807664413452148,23.930922393798824,23.85300514221191,-0.0779172515869142
baseline,case09,brainstem_d2,Brainstem D2,9.051507835388184,25.05213920593262,24.712474212646484,-0.3396649932861351
baseline,case09,parotid_r_mean,Parotid R mean,12.636478632146662,25.29952322064024,24.59026398706918,-0.7092592335710606
baseline,case10,ptv_d95,PTV D95,3.5,16.999093532562256,15.939082622528076,-1.0600109100341797
baseline,case10,pvdr,PVDR,1.645898441108816,1.2215823061799012,1.1542977640420804,-0.06728454213782076
baseline,case10,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,8.18923931996917,20.74318240738935,20.360588427828223,-0.38259397956112906
baseline,case10,spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,7.3043823211845735,18.10857338567777,17.919813166816272,-0.1887602188614963
baseline,case10,cord_d2,Cord D2,12.623858299255371,28.188526229858397,28.09891548156738,-0.08961074829101534
baseline,case10,brainstem_d2,Brainstem D2,12.214059333801272,27.476750793457033,27.314434509277344,-0.16231628417968835
baseline,case10,parotid_r_mean,Parotid R mean,6.92926394216942,21.440920933810148,20.67871806597469,-0.7622028678354589
sample_001,case01,ptv_d95,PTV D95,3.5000001788139343,18.330859661102295,17.84770154953003,-0.4831581115722656
sample_001,case01,pvdr,PVDR,1.7942250613848219,1.2266470863810888,1.2372071258895854,0.0105600395084966
sample_001,case01,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,7.1248379276762455,21.414469793798844,21.096406891054194,-0.31806290274465
sample_001,case01,spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,5.551478219009564,17.65016996921899,17.365306616515173,-0.284863352703816
sample_001,case01,cord_d2,Cord D2,1.6935659074783322,12.160050735473632,12.08646415710449,-0.07358657836914162
sample_001,case01,brainstem_d2,Brainstem D2,4.724041156768799,19.00982421875,18.882831268310547,-0.1269929504394547
sample_001,case01,parotid_r_mean,Parotid R mean,4.527316856745518,15.657278696695963,15.266612696406817,-0.390666000289146
sample_001,case02,ptv_d95,PTV D95,3.5,18.34344720840454,17.416695308685302,-0.926751899719239
sample_001,case02,pvdr,PVDR,1.7966069888665888,1.2019846980391864,1.216744802156209,0.014760104117022665
sample_001,case02,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,7.571629834635082,21.94670380448222,21.644399766584684,-0.30230403789753524
sample_001,case02,spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,6.350267394972314,18.64000789967944,18.391420354536095,-0.24858754514334436
sample_001,case02,cord_d2,Cord D2,4.304217872619628,17.208980102539055,17.16039016723632,-0.048589935302736365
sample_001,case02,brainstem_d2,Brainstem D2,7.62433998107911,23.79951774597168,23.607937850952148,-0.1915798950195331
sample_001,case02,parotid_r_mean,Parotid R mean,0.21397229129015796,3.526016675342213,3.3759525920405533,-0.15006408330165977
sample_001,case03,ptv_d95,PTV D95,3.5000001192092896,18.28918743133545,16.6555233001709,-1.6336641311645508
sample_001,case03,pvdr,PVDR,1.6557359939167076,1.183560380293472,1.080706533502308,-0.10285384679116394
sample_001,case03,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,7.893605106264787,22.132151083750987,21.413010017922304,-0.7191410658286834
sample_001,case03,spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,6.3122657820646655,18.48141077298681,18.11391155836717,-0.3674992146196381
sample_001,case03,cord_d2,Cord D2,18.599873275756835,32.086680755615234,32.03541320800781,-0.05126754760742358
sample_001,case03,brainstem_d2,Brainstem D2,18.5877791595459,32.261182708740236,32.20208740234375,-0.05909530639648608
sample_001,case03,parotid_r_mean,Parotid R mean,4.715152071943186,18.601638867156673,17.93100204660435,-0.6706368205523248
sample_001,case04,ptv_d95,PTV D95,3.4999999046325683,17.640130043029785,12.054566669464112,-5.585563373565673
sample_001,case04,pvdr,PVDR,1.9199070266211269,1.2411831898681167,1.3933207138075805,0.15213752393946378
sample_001,case04,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,6.1157045766817415,20.514513124054798,18.886073107815694,-1.6284400162391037
sample_001,case04,spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,3.8142536735420576,15.12734867196196,14.59453363081223,-0.5328150411497301
sample_001,case04,cord_d2,Cord D2,12.86361804962158,27.46752349853515,27.39674194335937,-0.07078155517578111
sample_001,case04,brainstem_d2,Brainstem D2,26.443986892700195,34.350081329345706,34.30696807861328,-0.043113250732425
sample_001,case04,parotid_r_mean,Parotid R mean,3.353234562127277,14.582275835673014,13.939668156402279,-0.6426076792707356
sample_001,case05,ptv_d95,PTV D95,3.4999999046325683,18.085651779174803,16.98842849731445,-1.0972232818603516
sample_001,case05,pvdr,PVDR,2.0117584786890403,1.2423966144436907,1.1417519382615804,-0.10064467618211026
sample_001,case05,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,6.226131111328786,20.960634458382856,20.324561303114923,-0.6360731552679333
sample_001,case05,spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,4.913785900432322,17.38649842225923,17.013622280224254,-0.37287614203497554
sample_001,case05,cord_d2,Cord D2,17.382209701538084,29.73074104309082,29.6830802154541,-0.04766082763671875
sample_001,case05,brainstem_d2,Brainstem D2,10.529837722778321,27.365937805175783,27.328959884643556,-0.036977920532226705
sample_001,case05,parotid_r_mean,Parotid R mean,7.717367107699616,23.14469949356233,22.537105999570905,-0.6075934939914269
sample_001,case06,ptv_d95,PTV D95,3.499999833106995,17.980505180358886,16.938266563415528,-1.042238616943358
sample_001,case06,pvdr,PVDR,1.7061907148943334,1.1774801201779594,1.197949738961565,0.020469618783605537
sample_001,case06,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,7.543073716337961,21.950120272658964,21.36684438973264,-0.5832758829263227
sample_001,case06,spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,6.422456015930188,19.082193787925906,18.624411214000837,-0.45778257392506916
sample_001,case06,cord_d2,Cord D2,5.403743743896482,18.632511978149413,18.55477867126465,-0.07773330688476321
sample_001,case06,brainstem_d2,Brainstem D2,6.732566375732423,19.892733688354493,19.586541900634767,-0.306191787719726
sample_001,case06,parotid_r_mean,Parotid R mean,5.246605821811792,20.749731202559037,20.158218412688285,-0.5915127898707517
sample_001,case07,ptv_d95,PTV D95,3.5000000953674317,18.156770324707033,16.57069911956787,-1.586071205139163
sample_001,case07,pvdr,PVDR,2.1613267665900513,1.2558708977408504,1.2857600388986048,0.02988914115775443
sample_001,case07,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,6.415503504528602,21.113370802382324,20.361647408422986,-0.7517233939593382
sample_001,case07,spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,5.824338141293821,18.408164893562752,17.634771944107612,-0.7733929494551397
sample_001,case07,cord_d2,Cord D2,9.003155403137207,21.775524826049804,21.72123405456543,-0.054290771484375
