plan_id,case_label,site_group,mode,mode_label,ptv_d95,pvdr,spill_shell_0_5_mean,spill_shell_5_15_mean,cord_d2,brainstem_d2,parotid_r_mean,gtv_d95,thyroid_mean,body_dmax,parotid_l_mean,spill_shell_15_30_mean,outside_gtv_d2,oar_adjacent_outside_gtv_mean,ptv_valley_outside_gtv_mean,peak_mean,valley_mean,peak_voxels,valley_voxels,sample_id,risk_score,rank
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,physical_only,Physical-only,3.5000001788139343,1.7942250613848219,7.1248379276762455,5.551478219009564,1.6935659074783322,4.724041156768799,4.527316856745518,3.8970908999443052,7.804038130831054,24.55937385559082,0.11252559060324924,3.373278569051124,13.93813694000244,2.988130424310533,7.1248379276762455,13.828252007525254,7.707088873707019,514,10306,baseline,-5.0382579386400215,2
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,bystander_no_sink,"Bystander, no vascular sink",16.592122077941895,1.3303374866449957,19.718666760049963,16.220888005619535,10.759014434814453,17.231941528320313,14.286531404052118,19.491301250457763,18.549461748577862,31.214353561401367,1.470181417043763,11.237658112206633,23.564121704101552,10.103089048614903,19.718666760049963,28.794783978146803,21.644721183317877,514,10306,baseline,-5.707903800566509,1
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,bystander_with_sink,"Bystander, anatomical vascular sink",16.14116668701172,1.3421897646327299,19.426189255887184,15.957610606349883,10.645775260925292,17.081712951660155,13.875902008287834,19.16419219970703,18.506689312288266,31.213027954101562,1.3779632058408526,11.069217858819657,23.564121704101552,9.621531402629873,19.426189255887184,28.791874187929622,21.451418381072283,514,10306,baseline,-5.396841209458716,1
case02,Left maxillary sinus crescent abutting orbit,sinonasal_midface,physical_only,Physical-only,3.5,1.7966069888665888,7.571629834635082,6.350267394972314,4.304217872619628,7.62433998107911,0.21397229129015796,3.7045312881469727,10.421681207769057,41.908912658691406,6.310525364345974,3.867491504612612,16.51112937927246,5.1028538555147085,7.571629834635082,13.80194852374849,7.682230231362739,525,18031,baseline,-2.245855756571696,3
case02,Left maxillary sinus crescent abutting orbit,sinonasal_midface,bystander_no_sink,"Bystander, no vascular sink",16.596606636047362,1.319217039888552,20.261222883512737,17.21756796449732,15.665300598144523,21.531087265014648,3.0743512538948443,18.894043350219725,21.25161822587713,47.609100341796875,16.64247136164193,12.234007865533645,25.267636108398428,13.718510959540312,20.261222883512737,28.954925587972006,21.948568516381602,525,18031,baseline,-3.9134891310552558,2
case02,Left maxillary sinus crescent abutting orbit,sinonasal_midface,bystander_with_sink,"Bystander, anatomical vascular sink",15.768522453308105,1.3354261708585893,19.97876433001454,16.97930828863726,15.584071197509758,21.39621810913086,2.9040995409994412,18.116297912597656,21.192966723958776,47.59376525878906,16.16705065062552,12.004660663061737,25.247985458374007,13.092944350848777,19.97876433001454,28.938099136352537,21.669561199139363,525,18031,baseline,-3.7996884311263828,2
case03,Base-of-tongue / oropharynx bilobed central mass,oropharynx_bot,physical_only,Physical-only,3.5000001192092896,1.6557359939167076,7.893605106264787,6.3122657820646655,18.599873275756835,18.5877791595459,4.715152071943186,3.899498724937439,7.97205074948054,23.54033088684082,8.981715619443642,4.620076896488795,15.555738525390625,8.535382255425244,7.893605106264787,14.233529468502704,8.596496978260852,793,18035,baseline,3.8051861467221983,9
case03,Base-of-tongue / oropharynx bilobed central mass,oropharynx_bot,bystander_no_sink,"Bystander, no vascular sink",16.57510995864868,1.283311800651303,20.518402559674026,17.092939234731013,30.869150314331055,31.27781135559082,16.900974641665062,18.892830848693848,19.68014011442108,35.1015739440918,20.0690127151181,13.393199489195222,25.020269699096684,19.445415718833342,20.518402559674026,29.037146797997956,22.626727801662156,793,18035,baseline,3.8280383548803214,9
case03,Base-of-tongue / oropharynx bilobed central mass,oropharynx_bot,bystander_with_sink,"Bystander, anatomical vascular sink",15.286704063415527,1.1740584379520114,19.81004970825187,16.72682337660674,30.781436080932615,31.063139572143555,16.129251688176936,16.54153938293457,19.587351533281545,31.730587005615234,19.370470582595978,13.19519449183519,24.412432708740234,18.93522808978179,19.81004970825187,25.378343649499804,21.615911805692523,793,18035,baseline,4.1677006740131235,9
case04,Laryngo-hypopharyngeal elongated cylinder,laryngohypopharynx,physical_only,Physical-only,3.4999999046325683,1.9199070266211269,6.1157045766817415,3.8142536735420576,12.86361804962158,26.443986892700195,3.353234562127277,4.305298233032227,5.339538831644383,27.45594596862793,2.791876085539057,2.103351772792463,13.752878570556602,4.783478232594313,6.109907462619222,13.835010256618261,7.206083453409045,256,13699,baseline,-1.2412083141216046,4
case04,Laryngo-hypopharyngeal elongated cylinder,laryngohypopharynx,bystander_no_sink,"Bystander, no vascular sink",15.946506595611572,1.309810749540563,18.906713711394268,13.786072315802631,26.9487833404541,33.442960815429686,13.14375410079956,19.287711906433106,18.376769139670735,35.06026077270508,11.946785456724841,8.41549521263951,23.724600830078124,14.921355867183976,18.900716702509584,27.90044442564249,21.30112646840699,256,13699,baseline,-0.969979397096492,4
