uptake_scale,metric,label,mean_delta,min_delta,max_delta
0.0,pvdr,PVDR,0.0,0.0,0.0
0.0,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,0.0,0.0,0.0
0.0,brainstem_d2,Brainstem D2,0.0,0.0,0.0
0.0,parotid_r_mean,Right parotid mean,0.0,0.0,0.0
0.25,pvdr,PVDR,-0.013393600824706708,-0.06646081004144366,0.09246324470276779
0.25,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,-0.35734711272146596,-0.9762653222842914,-0.1308912840067471
0.25,brainstem_d2,Brainstem D2,-0.12056579589843608,-0.23645408630371278,-0.033811492919916475
0.25,parotid_r_mean,Right parotid mean,-0.38197594955714054,-0.4802884169299162,-0.10868459133186725
0.5,pvdr,PVDR,-0.01801059228103541,-0.08957681477800494,0.1292926552940652
0.5,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,-0.48691862629305865,-1.3094496704337146,-0.18081351624906006
0.5,brainstem_d2,Brainstem D2,-0.17207222747802717,-0.3140982055664061,-0.04930664062499801
0.5,parotid_r_mean,Right parotid mean,-0.5106764133771262,-0.6406033930152333,-0.1429658294928191
0.75,pvdr,PVDR,-0.02033916044366866,-0.10157681646951167,0.1496095133327353
0.75,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,-0.5555839448173238,-1.4810987092253711,-0.2078491868689376
0.75,brainstem_d2,Brainstem D2,-0.20103629302978518,-0.3376727294921871,-0.05825103759765682
0.75,parotid_r_mean,Right parotid mean,-0.5763921104055464,-0.7218563311027744,-0.15994062833111666
1.0,pvdr,PVDR,-0.021753335371913308,-0.10925336269929153,0.16280518451829562
1.0,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,-0.5991405248911083,-1.5882744806113003,-0.22516106603552544
1.0,brainstem_d2,Brainstem D2,-0.21931540679931594,-0.3804283142089844,-0.0641049194335892
1.0,parotid_r_mean,Right parotid mean,-0.6169358770293419,-0.7717229534881263,-0.17025171289540308
1.25,pvdr,PVDR,-0.022712021417329288,-0.115336418072705,0.1722465551920831
1.25,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,-0.6298000486457969,-1.6629648530001901,-0.23738339232344075
1.25,brainstem_d2,Brainstem D2,-0.23039288330078164,-0.3976360321044936,-0.06826049804687528
1.25,parotid_r_mean,Right parotid mean,-0.6447555508276434,-0.8058078997062914,-0.1772642588374591
1.5,pvdr,PVDR,-0.023410905641565404,-0.1199081794684036,0.17944598200860917
1.5,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,-0.6528905698414345,-1.7188303585998241,-0.246581206489779
1.5,brainstem_d2,Brainstem D2,-0.23750315093994095,-0.40543266296386804,-0.07136520385741818
1.5,parotid_r_mean,Right parotid mean,-0.6651869997833714,-0.8307662366616597,-0.1823857360415988
2.0,pvdr,PVDR,-0.024374884549329547,-0.12643438958611353,0.18992080891569407
2.0,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,-0.6860236367321437,-1.7984533288699716,-0.2597112257561385
2.0,brainstem_d2,Brainstem D2,-0.2488367996215814,-0.42446189880370966,-0.07572509765624602
2.0,parotid_r_mean,Right parotid mean,-0.6934579043436537,-0.8651878877119579,-0.18943700356916926
