plan_id,case_label,site_group,mode,mode_label,mean_gammah2ax_peak,mean_gammah2ax_valley,mean_tunel_peak,mean_tunel_valley,cytokine_global_auc,cytokine_peak_roi_auc,cytokine_valley_roi_auc
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,physical_only,Physical-only,0.6238512396812439,0.3325668275356293,0.6238512396812439,0.3325668275356293,0.0,0.0,0.0
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,bystander_no_sink,"Bystander, no vascular sink",0.6751646399497986,0.5446820259094238,0.9924179315567017,0.871222972869873,90.45977783203125,3373.658447265625,1282.9296875
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,bystander_with_sink,"Bystander, anatomical vascular sink",0.6751656532287598,0.5442501902580261,0.9924134612083435,0.8643338084220886,87.56173706054688,3373.163818359375,1262.3704833984375
case02,Left maxillary sinus crescent abutting orbit,sinonasal_midface,physical_only,Physical-only,0.6222640872001648,0.3247654139995575,0.6222640872001648,0.3247654139995575,0.0,0.0,0.0
case02,Left maxillary sinus crescent abutting orbit,sinonasal_midface,bystander_no_sink,"Bystander, no vascular sink",0.6587980389595032,0.529224693775177,0.995353102684021,0.87989741563797,123.79008483886719,3746.7548828125,1409.832275390625
case02,Left maxillary sinus crescent abutting orbit,sinonasal_midface,bystander_with_sink,"Bystander, anatomical vascular sink",0.658805251121521,0.5287089943885803,0.9953378438949585,0.8711889386177063,119.22822570800781,3743.346923828125,1373.219482421875
case03,Base-of-tongue / oropharynx bilobed central mass,oropharynx_bot,physical_only,Physical-only,0.6408873200416565,0.3750283718109131,0.6408873200416565,0.3750283718109131,0.0,0.0,0.0
case03,Base-of-tongue / oropharynx bilobed central mass,oropharynx_bot,bystander_no_sink,"Bystander, no vascular sink",0.676517903804779,0.5585822463035583,0.9952369332313538,0.8980909585952759,150.22689819335938,3705.947021484375,1577.042236328125
case03,Base-of-tongue / oropharynx bilobed central mass,oropharynx_bot,bystander_with_sink,"Bystander, anatomical vascular sink",0.675227701663971,0.5586006045341492,0.9591417908668518,0.877056896686554,135.9909210205078,2492.42529296875,1364.216552734375
case04,Laryngo-hypopharyngeal elongated cylinder,laryngohypopharynx,physical_only,Physical-only,0.6241697072982788,0.30650126934051514,0.6241697072982788,0.30650126934051514,0.0,0.0,0.0
case04,Laryngo-hypopharyngeal elongated cylinder,laryngohypopharynx,bystander_no_sink,"Bystander, no vascular sink",0.6960822939872742,0.5070746541023254,0.9879176616668701,0.8886975646018982,94.45124053955078,3091.62158203125,1677.37890625
case04,Laryngo-hypopharyngeal elongated cylinder,laryngohypopharynx,bystander_with_sink,"Bystander, anatomical vascular sink",0.6961954832077026,0.5035285949707031,0.9874519109725952,0.8055007457733154,82.31208801269531,3046.149658203125,1238.65966796875
case05,Parapharyngeal / prestyloid deep-space bulky mass,parapharyngeal_deep_space,physical_only,Physical-only,0.6072246432304382,0.2934485077857971,0.6072246432304382,0.2934485077857971,0.0,0.0,0.0
case05,Parapharyngeal / prestyloid deep-space bulky mass,parapharyngeal_deep_space,bystander_no_sink,"Bystander, no vascular sink",0.6637775897979736,0.5006149411201477,0.9904228448867798,0.8789565563201904,139.32728576660156,3318.481689453125,1506.601806640625
case05,Parapharyngeal / prestyloid deep-space bulky mass,parapharyngeal_deep_space,bystander_with_sink,"Bystander, anatomical vascular sink",0.6623852849006653,0.5006422400474548,0.9589875340461731,0.858674943447113,126.99065399169922,2339.637451171875,1347.9599609375
case06,Buccal mucosa / cheek infiltrative crescent,cheek_superficial,physical_only,Physical-only,0.6245397925376892,0.3553992211818695,0.6245397925376892,0.3553992211818695,0.0,0.0,0.0
case06,Buccal mucosa / cheek infiltrative crescent,cheek_superficial,bystander_no_sink,"Bystander, no vascular sink",0.6990072131156921,0.5309968590736389,0.985137939453125,0.9104650020599365,133.0121307373047,2758.84130859375,1771.2127685546875
