plan_id,physical_rank,no_sink_rank,with_sink_rank,no_sink_vs_physical_shift,with_sink_vs_physical_shift,with_sink_vs_no_sink_shift,physical_risk_score,no_sink_risk_score,with_sink_risk_score
case01,2,1,1,-1,-1,0,-5.0382579386400215,-5.707903800566509,-5.396841209458716
case02,3,2,2,-1,-1,0,-2.245855756571696,-3.9134891310552558,-3.7996884311263828
case03,9,9,9,0,0,0,3.8051861467221983,3.8280383548803214,4.1677006740131235
case04,4,4,4,0,0,0,-1.2412083141216046,-0.969979397096492,-2.3236012114538163
case05,5,5,6,0,1,1,-0.8603046842174225,-0.3183310134654508,0.8222465080136654
case06,7,6,5,-1,-2,-1,1.445279533608693,1.9653841433860033,-0.5090543743841642
case07,1,3,3,2,2,0,-5.394933681127745,-3.755454376002443,-3.6042279309811844
case08,8,8,8,0,0,0,3.5463851799403843,2.2639435145696982,2.8405343780183383
case09,6,7,7,1,1,0,1.0582620183395424,2.1042342779531484,2.7273684404601086
case10,10,10,10,0,0,0,4.925447467562638,4.503557427396924,5.075563156899024
