plan_id,mode,nominal_rank,rank_retention_probability,top_rank_probability,mean_simulated_rank,rank_sd
plan01,bystander_no_sink,4,0.231,0.17175,3.05575,1.3587280587004888
plan01,bystander_with_sink,3,0.1985,0.2415,2.7895,1.395238241305047
plan01,physical_only,5,0.37925,0.05625,3.8345,1.1958719622100031
plan02,bystander_no_sink,5,0.4715,0.06075,3.95675,1.2395077399919698
plan02,bystander_with_sink,5,0.24325,0.15775,3.1965,1.4031706061630569
plan02,physical_only,4,0.27925,0.054,3.85025,1.2003436747448633
plan03,bystander_no_sink,1,0.29675,0.29675,2.52225,1.3247659934871512
plan03,bystander_with_sink,2,0.20625,0.25125,2.78425,1.4016782574827928
plan03,physical_only,2,0.2595,0.278,2.508,1.2715879835858783
plan04,bystander_no_sink,3,0.211,0.25375,2.68775,1.3491663861436811
plan04,bystander_with_sink,4,0.18775,0.2285,2.8445,1.4004712599693003
plan04,physical_only,3,0.217,0.29725,2.454,1.2747093786428338
plan05,bystander_no_sink,2,0.23575,0.217,2.7775,1.322306223988982
plan05,bystander_with_sink,1,0.121,0.121,3.38525,1.362472912574778
plan05,physical_only,1,0.3145,0.3145,2.35325,1.2286026361277271
