metric_type,metric,label,units,mean_with_sink_minus_no_sink,ci_lower,ci_upper,cohens_dz
endpoint,ptv_d95,PTV D95,Gy,-2.5586072254180907,-2.5718666744232173,-2.5460778331756595,-149.4178099038124
endpoint,pvdr,PVDR,ratio,0.02817837071848044,0.027431927684191802,0.028901108359184403,29.92152151321234
endpoint,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,Gy,-0.4475640287475485,-0.44816877591674853,-0.4466301268838279,-441.02998404016336
endpoint,spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,Gy,-0.22309072913377861,-0.22316024486825797,-0.22300881858107857,-2310.011660570282
endpoint,cord_d2,Cord D2,Gy,0.0,0.0,0.0,0.0
endpoint,brainstem_d2,Brainstem D2,Gy,-0.0028843688964848013,-0.003978805541992614,-0.0019747161865247163,-2.385477113713458
endpoint,parotid_r_mean,Parotid R mean,Gy,-0.49508120911988557,-0.49609747384276803,-0.494270368555496,-403.27184353709566
assay,mean_gammah2ax_peak,mean_gammah2ax_peak,a.u.,8.906126022338867e-05,8.667707443237305e-05,9.14454460144043e-05,28.82429783839927
assay,mean_gammah2ax_valley,mean_gammah2ax_valley,a.u.,-0.001529395580291748,-0.0015360593795776367,-0.0015185356140136718,-130.26551494595034
assay,mean_tunel_peak,mean_tunel_peak,a.u.,-0.009467649459838866,-0.009718883037567138,-0.009273946285247803,-33.25577260444085
assay,mean_tunel_valley,mean_tunel_valley,a.u.,-0.04772619009017944,-0.04783408641815186,-0.047616779804229736,-345.0321329108132
assay,cytokine_peak_roi_auc,cytokine_peak_roi_auc,a.u.,-131.0798828125,-141.2246826171875,-120.9350830078125,-10.124056866352602
assay,cytokine_valley_roi_auc,cytokine_valley_roi_auc,a.u.,-239.7781982421875,-241.88197021484376,-237.85380859375,-91.26792296451868
assay,immune_scalar,immune_scalar,a.u.,0.0,0.0,0.0,0.0
