plan_id,physical_rank,no_sink_rank,with_sink_rank,no_sink_vs_physical_shift,with_sink_vs_physical_shift,with_sink_vs_no_sink_shift,physical_risk_score,no_sink_risk_score,with_sink_risk_score
case01,2,1,1,-1,-1,0,-5.0382579386400215,-5.644095652701852,-5.791452630416654
case02,3,3,2,0,-1,-1,-2.245855756571696,-4.039848593482375,-4.337357805340576
case03,9,8,8,-1,-1,0,3.8051861467221983,2.9221160734554266,3.633872250232494
case04,4,4,4,0,0,0,-1.2412083141216046,-0.5539972242755944,-2.381072727417319
case05,5,5,6,0,1,1,-0.8603046842174225,0.7568551036341278,1.2269434482433395
case06,7,6,5,-1,-2,-1,1.445279533608693,1.084720100925496,0.16475915691495197
case07,1,2,3,1,2,1,-5.394933681127745,-4.069460673549752,-4.272401965134968
case08,8,7,7,-1,-1,0,3.5463851799403843,1.9149165220813074,2.4870005939064397
case09,6,9,9,3,3,0,1.0582620183395424,3.168283690596607,3.6726378504176784
case10,10,10,10,0,0,0,4.925447467562638,4.460510653316653,5.597071828594555
