repeat_id,seed,history_scale,histories_base,histories_spot,repeat_root,plan_id,physical_rank,no_sink_rank,with_sink_rank,no_sink_vs_physical_shift,with_sink_vs_physical_shift,with_sink_vs_no_sink_shift,physical_risk_score,no_sink_risk_score,with_sink_risk_score
seed11_hist0p5,11,0.5,6000,12000,PROJECT_ROOT/runs/phase35_subset_repeat_uncertainty/repeat_runs/seed11_hist0p5,case02,4,2,2,-2,-2,0,1.2915357001833112,-2.6845801311418462,-2.7324203823451976
seed11_hist0p5,11,0.5,6000,12000,PROJECT_ROOT/runs/phase35_subset_repeat_uncertainty/repeat_runs/seed11_hist0p5,case03,3,4,5,1,2,1,-0.5707146313471438,2.2582982390811797,2.47078609340296
seed11_hist0p5,11,0.5,6000,12000,PROJECT_ROOT/runs/phase35_subset_repeat_uncertainty/repeat_runs/seed11_hist0p5,case04,1,1,1,0,0,0,-11.004771217052362,-6.367157654133601,-6.145020025277998
seed11_hist0p5,11,0.5,6000,12000,PROJECT_ROOT/runs/phase35_subset_repeat_uncertainty/repeat_runs/seed11_hist0p5,case05,2,6,6,4,4,0,-0.5849391564955942,2.8201602146914055,3.308864971409662
seed11_hist0p5,11,0.5,6000,12000,PROJECT_ROOT/runs/phase35_subset_repeat_uncertainty/repeat_runs/seed11_hist0p5,case06,5,5,3,0,-2,-2,3.468150092125517,2.708445507146301,1.4273385431462349
seed11_hist0p5,11,0.5,6000,12000,PROJECT_ROOT/runs/phase35_subset_repeat_uncertainty/repeat_runs/seed11_hist0p5,case07,6,3,4,-3,-2,1,7.400739215725699,1.2648338243565682,1.6704507996643412
seed11_hist1p0,11,1.0,12000,24000,PROJECT_ROOT/runs/phase35_subset_repeat_uncertainty/repeat_runs/seed11_hist1p0,case02,2,1,1,-1,-1,0,-4.859282495765964,-5.064422623865606,-5.087357338791497
seed11_hist1p0,11,1.0,12000,24000,PROJECT_ROOT/runs/phase35_subset_repeat_uncertainty/repeat_runs/seed11_hist1p0,case03,4,4,5,0,1,1,3.866454685351821,2.2640979725217787,4.109109973408836
seed11_hist1p0,11,1.0,12000,24000,PROJECT_ROOT/runs/phase35_subset_repeat_uncertainty/repeat_runs/seed11_hist1p0,case04,1,2,2,1,1,0,-10.313661038113601,-4.296521871359432,-4.818333533756981
seed11_hist1p0,11,1.0,12000,24000,PROJECT_ROOT/runs/phase35_subset_repeat_uncertainty/repeat_runs/seed11_hist1p0,case05,5,5,6,0,1,1,4.784044869509663,3.219840668048856,4.294060271144932
seed11_hist1p0,11,1.0,12000,24000,PROJECT_ROOT/runs/phase35_subset_repeat_uncertainty/repeat_runs/seed11_hist1p0,case06,3,6,4,3,1,-2,1.1991341173577,3.9925681821378665,1.4106479759999275
seed11_hist1p0,11,1.0,12000,24000,PROJECT_ROOT/runs/phase35_subset_repeat_uncertainty/repeat_runs/seed11_hist1p0,case07,6,3,3,-3,-3,0,5.3233098616603804,-0.11556232748341322,0.09187265199479644
seed11_hist2p0,11,2.0,24000,48000,PROJECT_ROOT/runs/phase35_subset_repeat_uncertainty/repeat_runs/seed11_hist2p0,case02,2,1,1,-1,-1,0,-3.4967221324525966,-5.209904306078933,-5.00164364332814
seed11_hist2p0,11,2.0,24000,48000,PROJECT_ROOT/runs/phase35_subset_repeat_uncertainty/repeat_runs/seed11_hist2p0,case03,6,4,6,-2,0,2,5.766909628358894,1.5083599654542714,4.179268424549941
seed11_hist2p0,11,2.0,24000,48000,PROJECT_ROOT/runs/phase35_subset_repeat_uncertainty/repeat_runs/seed11_hist2p0,case04,1,2,2,1,1,0,-4.363216977916362,-0.13800664934462642,-3.470747291672816
seed11_hist2p0,11,2.0,24000,48000,PROJECT_ROOT/runs/phase35_subset_repeat_uncertainty/repeat_runs/seed11_hist2p0,case05,4,5,5,1,1,0,1.516805132237052,1.8204592787517773,3.927328016072696
seed11_hist2p0,11,2.0,24000,48000,PROJECT_ROOT/runs/phase35_subset_repeat_uncertainty/repeat_runs/seed11_hist2p0,case06,3,6,4,3,1,-2,-2.9494921025300513,1.999420409528658,1.4619548891709124
seed11_hist2p0,11,2.0,24000,48000,PROJECT_ROOT/runs/phase35_subset_repeat_uncertainty/repeat_runs/seed11_hist2p0,case07,5,3,3,-2,-2,0,3.5257164573415483,0.019671301688895443,-1.0961603947925989
seed22_hist0p5,22,0.5,6000,12000,PROJECT_ROOT/runs/phase35_subset_repeat_uncertainty/repeat_runs/seed22_hist0p5,case02,1,1,1,0,0,0,-3.43990487354536,-4.967566024912156,-5.397933287936152
