plan_id,case_label,endpoint,label,units,n_repeats,mean_with_sink_minus_no_sink,std_repeat_delta,min_delta,max_delta,p2_5_delta,p97_5_delta,mean_delta_ci_lower,mean_delta_ci_upper,bio_sigma_for_delta,combined_sigma,combined_95pct_noise_band,abs_mean_over_combined_sigma,exceeds_1sigma_noise_band,exceeds_95pct_noise_band,mean_delta_ci_excludes_zero,cohens_dz
case02,Left maxillary sinus crescent abutting orbit,ptv_d95,PTV D95,Gy,9,-0.8622176700168187,0.11089547446275436,-1.0619483947753885,-0.7114706039428711,-1.0495946311950668,-0.7151989364624022,-0.9351814993222552,-0.7952449052863652,0.3956501309548962,0.41089759354484656,0.8053592833478993,2.098376051751478,True,True,True,-7.330385834425566
case02,Left maxillary sinus crescent abutting orbit,pvdr,PVDR,ratio,9,0.020498397840743046,0.0016646524043655113,0.01675547118801557,0.02222986421767792,0.01723612738392837,0.022211007131887905,0.01933196477018679,0.021518050900350187,0.002239658936019717,0.0027905447097390946,0.005469467631088625,7.3456618592072545,True,True,True,11.60967585275858
case02,Left maxillary sinus crescent abutting orbit,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,Gy,9,-0.30522226460365887,0.0033800103686530015,-0.3107496731380941,-0.29825348857131573,-0.310217775338716,-0.29908741139599115,-0.3073193095508073,-0.30300295716909614,0.03851846227193974,0.038666476512439645,0.0757862939643817,7.893718076573743,True,True,True,-85.13770059088988
case02,Left maxillary sinus crescent abutting orbit,spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,Gy,9,-0.2389788123208315,0.0036201155007463156,-0.2449470936059832,-0.23392804318767801,-0.24494181346964794,-0.2342582165818758,-0.24124820305047398,-0.23686599366578417,0.02209242059849925,0.022387056174042574,0.043878630101123445,10.674865442912656,True,True,True,-62.23872828261232
case02,Left maxillary sinus crescent abutting orbit,cord_d2,Cord D2,Gy,9,-0.07649731953938795,0.017302069986148604,-0.11436668395995753,-0.04697582244873111,-0.10894389343261465,-0.05065386962890699,-0.08746078703138492,-0.06557286379072474,0.0,0.017302069986148604,0.033912057172851263,4.421281361168281,True,True,True,-4.168424042687707
case02,Left maxillary sinus crescent abutting orbit,brainstem_d2,Brainstem D2,Gy,9,-0.25597997029622416,0.10320103292669824,-0.5098872375488277,-0.16143135070800696,-0.47730604553222733,-0.163599853515624,-0.3311525601281057,-0.19921230337354845,0.00034736647075023474,0.10320161752900221,0.20227517035684434,2.4803871918411304,True,True,True,-2.338544718158079
case02,Left maxillary sinus crescent abutting orbit,parotid_r_mean,Parotid R mean,Gy,9,-0.21389869597356861,0.03104463616939104,-0.25611682817189374,-0.1691298724424959,-0.2554851075374717,-0.16930016479106866,-0.23348842339550474,-0.1932990074699576,0.05146535316557346,0.06010367718656709,0.1178032072856715,3.558828776974964,True,True,True,-6.495989305403064
case03,Base-of-tongue / oropharynx bilobed central mass,ptv_d95,PTV D95,Gy,9,-2.1102865007188587,0.6111349638106661,-3.506383180618286,-1.5310211181640625,-3.361199378967285,-1.531548833847046,-2.5379684931702085,-1.7636260165108575,0.3956501309548962,0.7280281382724783,1.4269351510140573,2.898633156853402,True,True,True,-3.2555774272844658
case03,Base-of-tongue / oropharynx bilobed central mass,pvdr,PVDR,ratio,9,-0.18323841148107906,0.00336721292947317,-0.18770961809613396,-0.17716674015301592,-0.18753915895956572,-0.17769981600366225,-0.18531845144728226,-0.18113453229748813,0.002239658936019717,0.0040440320303014735,0.007926302779390888,45.31082100935265,True,True,True,-51.306179540159214
case03,Base-of-tongue / oropharynx bilobed central mass,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,Gy,9,-0.8347624839780848,0.01802989550502552,-0.8583789909564068,-0.8025073731263319,-0.856870685078411,-0.8041393683355679,-0.8455351396089785,-0.8227153369497433,0.03851846227193974,0.042529390634207125,0.08335760564304596,19.627896650526445,True,True,True,-43.65092505659127
case03,Base-of-tongue / oropharynx bilobed central mass,spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,Gy,9,-0.3949978992302782,0.011797956921486217,-0.4070335278421098,-0.36844848882155645,-0.40639133487814616,-0.37191981916093225,-0.401607889730403,-0.38663324046274106,0.02209242059849925,0.025045295674482236,0.04908877952198518,15.771341028036957,True,True,True,-31.565430631638037
case03,Base-of-tongue / oropharynx bilobed central mass,cord_d2,Cord D2,Gy,9,-0.20061272515191242,0.027297714061022983,-0.256845703125002,-0.15863357543945256,-0.2503103332519558,-0.1621837158203121,-0.2185963948567749,-0.18429541905721283,0.0,0.027297714061022983,0.05350351955960504,7.349066837737785,True,True,True,-6.928766661810085
case03,Base-of-tongue / oropharynx bilobed central mass,brainstem_d2,Brainstem D2,Gy,9,-0.41642061021592824,0.10658741359147274,-0.5914430236816415,-0.25434371948242074,-0.577194519042969,-0.26294644165038933,-0.4844065674675834,-0.35006222407023047,0.00034736647075023474,0.10658797962052133,0.2089124400562218,3.9068252508255163,True,True,True,-3.6834097308850233
case03,Base-of-tongue / oropharynx bilobed central mass,parotid_r_mean,Parotid R mean,Gy,9,-1.102515027017304,0.02596102322835965,-1.1505339246807669,-1.053716539132477,-1.146350596264155,-1.0606387144146558,-1.1192299908794272,-1.0855709435375183,0.05146535316557346,0.0576424956392472,0.11297929145292451,19.126774696178,True,True,True,-40.03929763509886
