comparator_id,comparator_label,metric,label,units,n_cases,mean_true_minus_comparator,median_true_minus_comparator,ci_lower,ci_upper,cases_favoring_true_sink,fraction_favoring_true_sink,ci_excludes_zero
blurred_vessel_sink_sigma10mm,"Bystander, blurred vessel sink (10 mm sigma)",brainstem_d2,Brainstem D2,Gy,10,3.3055660629272454,2.973529319763184,2.4365799442291265,4.221760723495482,0,0.0,True
blurred_vessel_sink_sigma10mm,"Bystander, blurred vessel sink (10 mm sigma)",oar_adjacent_outside_gtv_mean,OAR-adjacent outside-GTV mean,Gy,10,1.2357528457120417,1.283821066338927,1.133484399010343,1.3212929316270745,0,0.0,True
blurred_vessel_sink_sigma10mm,"Bystander, blurred vessel sink (10 mm sigma)",outside_gtv_d2,Outside-GTV D2,Gy,10,0.6690304870605484,0.6538455390930196,0.4855315528869643,0.8614746141433716,0,0.0,True
blurred_vessel_sink_sigma10mm,"Bystander, blurred vessel sink (10 mm sigma)",parotid_r_mean,Parotid R mean,Gy,10,2.622671169993853,2.91727540372598,1.9668421264200493,3.230586050546529,0,0.0,True
blurred_vessel_sink_sigma10mm,"Bystander, blurred vessel sink (10 mm sigma)",ptv_d95,PTV D95,Gy,10,0.980363144874573,1.0595502614974972,0.592708653688431,1.3365337176322938,9,0.9,True
blurred_vessel_sink_sigma10mm,"Bystander, blurred vessel sink (10 mm sigma)",pvdr,PVDR,ratio,10,-0.019708131512497885,-0.018267539150730427,-0.03536462334266044,-0.004357668442318507,2,0.2,True
blurred_vessel_sink_sigma10mm,"Bystander, blurred vessel sink (10 mm sigma)",spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,Gy,10,1.1983331399131179,1.215278067446972,0.8891622546639807,1.5437856175672953,0,0.0,True
blurred_vessel_sink_sigma10mm,"Bystander, blurred vessel sink (10 mm sigma)",spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,Gy,10,0.7835417725298914,0.7855142428060242,0.6036505624075525,0.9796620555142423,0,0.0,True
distance_decay_sink_lambda15mm,"Bystander, distance-decay sink (lambda 15 mm)",brainstem_d2,Brainstem D2,Gy,10,0.8411136016845685,1.0099948501586855,-0.025204970741274434,1.6994772005081162,4,0.4,False
distance_decay_sink_lambda15mm,"Bystander, distance-decay sink (lambda 15 mm)",oar_adjacent_outside_gtv_mean,OAR-adjacent outside-GTV mean,Gy,10,1.0400796975088926,1.0250566966670442,0.735246148119827,1.3664273035194565,0,0.0,True
