plan_id,case_label,site_group,model_id,model_label,support_voxels,target_mass_species0,target_mass_species1
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,mirror_lr_sink,"Bystander, mirrored left-right vessel sink",2108,105.40000915527344,1722.800048828125
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,shifted_sink_12mm_ap,"Bystander, vessel sink shifted 12 mm anterior",2102,105.40000915527344,1722.800048828125
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,uniform_body_sink_mass_matched,"Bystander, uniform body sink (mass matched)",124698,105.40000915527344,1722.800048828125
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,blurred_vessel_sink_sigma10mm,"Bystander, blurred vessel sink (10 mm sigma)",103993,105.40000915527344,1722.800048828125
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,peri_gtv_shell_sink_5_20mm,"Bystander, peri-GTV shell sink (5-20 mm)",24221,105.40000915527344,1722.800048828125
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,distance_decay_sink_lambda15mm,"Bystander, distance-decay sink (lambda 15 mm)",116620,105.40000915527344,1722.800048828125
case02,Left maxillary sinus crescent abutting orbit,sinonasal_midface,mirror_lr_sink,"Bystander, mirrored left-right vessel sink",2108,105.40000915527344,1722.800048828125
case02,Left maxillary sinus crescent abutting orbit,sinonasal_midface,shifted_sink_12mm_ap,"Bystander, vessel sink shifted 12 mm anterior",2102,105.40000915527344,1722.800048828125
case02,Left maxillary sinus crescent abutting orbit,sinonasal_midface,uniform_body_sink_mass_matched,"Bystander, uniform body sink (mass matched)",124698,105.40000915527344,1722.800048828125
case02,Left maxillary sinus crescent abutting orbit,sinonasal_midface,blurred_vessel_sink_sigma10mm,"Bystander, blurred vessel sink (10 mm sigma)",103993,105.40000915527344,1722.800048828125
case02,Left maxillary sinus crescent abutting orbit,sinonasal_midface,peri_gtv_shell_sink_5_20mm,"Bystander, peri-GTV shell sink (5-20 mm)",29774,105.40000915527344,1722.800048828125
case02,Left maxillary sinus crescent abutting orbit,sinonasal_midface,distance_decay_sink_lambda15mm,"Bystander, distance-decay sink (lambda 15 mm)",111681,105.40000915527344,1722.800048828125
case03,Base-of-tongue / oropharynx bilobed central mass,oropharynx_bot,mirror_lr_sink,"Bystander, mirrored left-right vessel sink",2108,105.40000915527344,1722.800048828125
case03,Base-of-tongue / oropharynx bilobed central mass,oropharynx_bot,shifted_sink_12mm_ap,"Bystander, vessel sink shifted 12 mm anterior",2102,105.40000915527344,1722.800048828125
case03,Base-of-tongue / oropharynx bilobed central mass,oropharynx_bot,uniform_body_sink_mass_matched,"Bystander, uniform body sink (mass matched)",124698,105.40000915527344,1722.800048828125
case03,Base-of-tongue / oropharynx bilobed central mass,oropharynx_bot,blurred_vessel_sink_sigma10mm,"Bystander, blurred vessel sink (10 mm sigma)",103993,105.40000915527344,1722.800048828125
case03,Base-of-tongue / oropharynx bilobed central mass,oropharynx_bot,peri_gtv_shell_sink_5_20mm,"Bystander, peri-GTV shell sink (5-20 mm)",30218,105.40000915527344,1722.800048828125
case03,Base-of-tongue / oropharynx bilobed central mass,oropharynx_bot,distance_decay_sink_lambda15mm,"Bystander, distance-decay sink (lambda 15 mm)",109640,105.40000915527344,1722.800048828125
case04,Laryngo-hypopharyngeal elongated cylinder,laryngohypopharynx,mirror_lr_sink,"Bystander, mirrored left-right vessel sink",2108,105.40000915527344,1722.800048828125
case04,Laryngo-hypopharyngeal elongated cylinder,laryngohypopharynx,shifted_sink_12mm_ap,"Bystander, vessel sink shifted 12 mm anterior",2102,105.40000915527344,1722.800048828125
case04,Laryngo-hypopharyngeal elongated cylinder,laryngohypopharynx,uniform_body_sink_mass_matched,"Bystander, uniform body sink (mass matched)",124698,105.40000915527344,1722.800048828125
case04,Laryngo-hypopharyngeal elongated cylinder,laryngohypopharynx,blurred_vessel_sink_sigma10mm,"Bystander, blurred vessel sink (10 mm sigma)",103993,105.40000915527344,1722.800048828125
case04,Laryngo-hypopharyngeal elongated cylinder,laryngohypopharynx,peri_gtv_shell_sink_5_20mm,"Bystander, peri-GTV shell sink (5-20 mm)",25866,105.40000915527344,1722.800048828125
