plan_id,case_label,site_group,true_model_id,true_model_label,comparator_id,comparator_label,metric,label,units,true_value,comparator_value,true_minus_comparator,favors_true_sink
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",no_sink,"Bystander, no vascular sink",mean_gammah2ax_valley,mean_gammah2ax_valley,a.u.,0.5442502498626709,0.5446820855140686,-0.0004318356513977051,True
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",no_sink,"Bystander, no vascular sink",mean_tunel_valley,mean_tunel_valley,a.u.,0.8644087314605713,0.8712941408157349,-0.006885409355163574,True
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",no_sink,"Bystander, no vascular sink",cytokine_valley_roi_auc,cytokine_valley_roi_auc,a.u.,1262.3704833984375,1282.9296875,-20.5592041015625,True
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",no_sink,"Bystander, no vascular sink",cytokine_global_auc,cytokine_global_auc,a.u.,87.56173706054688,90.45977783203125,-2.898040771484375,True
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",mirror_lr_sink,"Bystander, mirrored left-right vessel sink",mean_gammah2ax_valley,mean_gammah2ax_valley,a.u.,0.5442502498626709,0.5442502498626709,0.0,False
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",mirror_lr_sink,"Bystander, mirrored left-right vessel sink",mean_tunel_valley,mean_tunel_valley,a.u.,0.8644087314605713,0.8644087314605713,0.0,False
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",mirror_lr_sink,"Bystander, mirrored left-right vessel sink",cytokine_valley_roi_auc,cytokine_valley_roi_auc,a.u.,1262.3704833984375,1262.3704833984375,0.0,False
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",mirror_lr_sink,"Bystander, mirrored left-right vessel sink",cytokine_global_auc,cytokine_global_auc,a.u.,87.56173706054688,87.56173706054688,0.0,False
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",shifted_sink_12mm_ap,"Bystander, vessel sink shifted 12 mm anterior",mean_gammah2ax_valley,mean_gammah2ax_valley,a.u.,0.5442502498626709,0.5437259078025818,0.0005243420600891113,False
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",shifted_sink_12mm_ap,"Bystander, vessel sink shifted 12 mm anterior",mean_tunel_valley,mean_tunel_valley,a.u.,0.8644087314605713,0.8490561842918396,0.01535254716873169,False
