plan_id,case_label,site_group,true_model_id,true_model_label,comparator_id,comparator_label,metric,label,units,true_value,comparator_value,true_minus_comparator,favors_true_sink
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",no_sink,"Bystander, no vascular sink",ptv_d95,PTV D95,Gy,16.405037879943848,16.86938190460205,-0.4643440246582031,False
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",no_sink,"Bystander, no vascular sink",pvdr,PVDR,ratio,1.6194702472739952,1.6056732752083351,0.013796972065660107,True
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",no_sink,"Bystander, no vascular sink",spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,Gy,19.730558758772514,20.028428960537564,-0.2978702017650505,True
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",no_sink,"Bystander, no vascular sink",spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,Gy,16.00868767437333,16.274418748841942,-0.26573107446861144,True
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",no_sink,"Bystander, no vascular sink",brainstem_d2,Brainstem D2,Gy,17.32584014892578,17.49945472717285,-0.1736145782470686,True
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",no_sink,"Bystander, no vascular sink",parotid_r_mean,Parotid R mean,Gy,13.895940837474784,14.306475969757697,-0.41053513228291294,True
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",no_sink,"Bystander, no vascular sink",outside_gtv_d2,Outside-GTV D2,Gy,23.654262199401845,23.65702972412109,-0.0027675247192462393,True
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",no_sink,"Bystander, no vascular sink",oar_adjacent_outside_gtv_mean,OAR-adjacent outside-GTV mean,Gy,9.645467141683813,10.128264514305677,-0.48279737262186373,True
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",mirror_lr_sink,"Bystander, mirrored left-right vessel sink",ptv_d95,PTV D95,Gy,16.405037879943848,16.405037879943848,0.0,False
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",mirror_lr_sink,"Bystander, mirrored left-right vessel sink",pvdr,PVDR,ratio,1.6194702472739952,1.6194702472739952,0.0,False
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",mirror_lr_sink,"Bystander, mirrored left-right vessel sink",spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,Gy,19.730558758772514,19.730558758772514,0.0,False
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",mirror_lr_sink,"Bystander, mirrored left-right vessel sink",spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,Gy,16.00868767437333,16.00868767437333,0.0,False
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",mirror_lr_sink,"Bystander, mirrored left-right vessel sink",brainstem_d2,Brainstem D2,Gy,17.32584014892578,17.32584014892578,0.0,False
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",mirror_lr_sink,"Bystander, mirrored left-right vessel sink",parotid_r_mean,Parotid R mean,Gy,13.895940837474784,13.895940837474784,0.0,False
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",mirror_lr_sink,"Bystander, mirrored left-right vessel sink",outside_gtv_d2,Outside-GTV D2,Gy,23.654262199401845,23.654262199401845,0.0,False
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",mirror_lr_sink,"Bystander, mirrored left-right vessel sink",oar_adjacent_outside_gtv_mean,OAR-adjacent outside-GTV mean,Gy,9.645467141683813,9.645467141683813,0.0,False
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",shifted_sink_12mm_ap,"Bystander, vessel sink shifted 12 mm anterior",ptv_d95,PTV D95,Gy,16.405037879943848,14.969635486602783,1.4354023933410645,True
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",shifted_sink_12mm_ap,"Bystander, vessel sink shifted 12 mm anterior",pvdr,PVDR,ratio,1.6194702472739952,1.6566215290499997,-0.03715128177600446,False
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",shifted_sink_12mm_ap,"Bystander, vessel sink shifted 12 mm anterior",spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,Gy,19.730558758772514,19.608125422887756,0.12243333588475735,False
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",shifted_sink_12mm_ap,"Bystander, vessel sink shifted 12 mm anterior",spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,Gy,16.00868767437333,16.05260388976028,-0.04391621538695034,True
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",shifted_sink_12mm_ap,"Bystander, vessel sink shifted 12 mm anterior",brainstem_d2,Brainstem D2,Gy,17.32584014892578,17.20883125305176,0.1170088958740223,False
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",shifted_sink_12mm_ap,"Bystander, vessel sink shifted 12 mm anterior",parotid_r_mean,Parotid R mean,Gy,13.895940837474784,13.563636356893213,0.3323044805815716,False
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",shifted_sink_12mm_ap,"Bystander, vessel sink shifted 12 mm anterior",outside_gtv_d2,Outside-GTV D2,Gy,23.654262199401845,23.574526977539062,0.07973522186278359,False
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",shifted_sink_12mm_ap,"Bystander, vessel sink shifted 12 mm anterior",oar_adjacent_outside_gtv_mean,OAR-adjacent outside-GTV mean,Gy,9.645467141683813,9.532192801591226,0.11327434009258752,False
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",uniform_body_sink_mass_matched,"Bystander, uniform body sink (mass matched)",ptv_d95,PTV D95,Gy,16.405037879943848,15.51180648803711,0.8932313919067383,True
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",uniform_body_sink_mass_matched,"Bystander, uniform body sink (mass matched)",pvdr,PVDR,ratio,1.6194702472739952,1.6044590208800127,0.015011226393982557,True
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",uniform_body_sink_mass_matched,"Bystander, uniform body sink (mass matched)",spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,Gy,19.730558758772514,18.589781675937672,1.1407770828348411,False
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",uniform_body_sink_mass_matched,"Bystander, uniform body sink (mass matched)",spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,Gy,16.00868767437333,15.172604819698307,0.8360828546750234,False
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",uniform_body_sink_mass_matched,"Bystander, uniform body sink (mass matched)",brainstem_d2,Brainstem D2,Gy,17.32584014892578,16.083780670166018,1.2420594787597636,False
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",uniform_body_sink_mass_matched,"Bystander, uniform body sink (mass matched)",parotid_r_mean,Parotid R mean,Gy,13.895940837474784,13.432123301727604,0.46381753574718054,False
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",uniform_body_sink_mass_matched,"Bystander, uniform body sink (mass matched)",outside_gtv_d2,Outside-GTV D2,Gy,23.654262199401845,22.52256347656249,1.1316987228393565,False
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",uniform_body_sink_mass_matched,"Bystander, uniform body sink (mass matched)",oar_adjacent_outside_gtv_mean,OAR-adjacent outside-GTV mean,Gy,9.645467141683813,9.380305911913815,0.2651612297699977,False
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",blurred_vessel_sink_sigma10mm,"Bystander, blurred vessel sink (10 mm sigma)",ptv_d95,PTV D95,Gy,16.405037879943848,14.876985311508179,1.528052568435669,True
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",blurred_vessel_sink_sigma10mm,"Bystander, blurred vessel sink (10 mm sigma)",pvdr,PVDR,ratio,1.6194702472739952,1.6425360721799496,-0.023065824905954324,False
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",blurred_vessel_sink_sigma10mm,"Bystander, blurred vessel sink (10 mm sigma)",spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,Gy,19.730558758772514,19.256634340386075,0.4739244183864386,False
