plan_id,comparator_id,comparator_label,nominal_true_rank_minus_comparator_rank,n_repeats,mean_empirical_rank_delta,sd_empirical_rank_delta,fraction_true_better,fraction_equal_rank,fraction_true_worse,probability_same_direction_as_nominal
case02,mirror_lr_sink,"Bystander, mirrored left-right vessel sink",-1.0,9,-1.0,0.0,1.0,0.0,0.0,1.0
case02,no_sink,"Bystander, no vascular sink",-2.0,9,-2.0,0.0,1.0,0.0,0.0,1.0
case02,uniform_body_sink_mass_matched,"Bystander, uniform body sink (mass matched)",1.0,9,1.0,0.0,0.0,0.0,1.0,1.0
case03,mirror_lr_sink,"Bystander, mirrored left-right vessel sink",-1.0,9,-1.0,0.0,1.0,0.0,0.0,1.0
case03,no_sink,"Bystander, no vascular sink",-2.0,9,-2.0,0.0,1.0,0.0,0.0,1.0
case03,uniform_body_sink_mass_matched,"Bystander, uniform body sink (mass matched)",1.0,9,1.0,0.0,0.0,0.0,1.0,1.0
case04,mirror_lr_sink,"Bystander, mirrored left-right vessel sink",-1.0,9,-1.0,0.0,1.0,0.0,0.0,1.0
case04,no_sink,"Bystander, no vascular sink",-2.0,9,-2.0,0.0,1.0,0.0,0.0,1.0
case04,uniform_body_sink_mass_matched,"Bystander, uniform body sink (mass matched)",1.0,9,1.0,0.0,0.0,0.0,1.0,1.0
case05,mirror_lr_sink,"Bystander, mirrored left-right vessel sink",-1.0,9,-1.0,0.0,1.0,0.0,0.0,1.0
case05,no_sink,"Bystander, no vascular sink",-2.0,9,-1.6666666666666667,0.9428090415820635,0.8888888888888888,0.0,0.1111111111111111,0.8888888888888888
case05,uniform_body_sink_mass_matched,"Bystander, uniform body sink (mass matched)",1.0,9,1.1111111111111112,0.3142696805273545,0.0,0.0,1.0,1.0
case06,mirror_lr_sink,"Bystander, mirrored left-right vessel sink",-1.0,9,-1.0,0.0,1.0,0.0,0.0,1.0
case06,no_sink,"Bystander, no vascular sink",-2.0,9,-2.0,0.0,1.0,0.0,0.0,1.0
case06,uniform_body_sink_mass_matched,"Bystander, uniform body sink (mass matched)",1.0,9,1.0,0.0,0.0,0.0,1.0,1.0
case07,mirror_lr_sink,"Bystander, mirrored left-right vessel sink",-1.0,9,-1.0,0.0,1.0,0.0,0.0,1.0
case07,no_sink,"Bystander, no vascular sink",-2.0,9,-2.0,0.0,1.0,0.0,0.0,1.0
case07,uniform_body_sink_mass_matched,"Bystander, uniform body sink (mass matched)",1.0,9,1.0,0.0,0.0,0.0,1.0,1.0
