comparator_id,comparator_label,metric,label,units,n_cases,mean_true_minus_comparator,median_true_minus_comparator,ci_lower,ci_upper,cases_favoring_true_sink,fraction_favoring_true_sink,ci_excludes_zero
ap_flip_sink,"Bystander, anterior-posterior flipped vessel sink",cytokine_global_auc,cytokine_global_auc,a.u.,10,-0.5621528625488281,-1.0486831665039062,-3.5371634674072268,2.216929988861084,5,0.5,False
ap_flip_sink,"Bystander, anterior-posterior flipped vessel sink",cytokine_valley_roi_auc,cytokine_valley_roi_auc,a.u.,10,0.72279052734375,15.97064208984375,-104.5950503540039,76.56230895996093,4,0.4,False
ap_flip_sink,"Bystander, anterior-posterior flipped vessel sink",mean_gammah2ax_valley,mean_gammah2ax_valley,a.u.,10,-7.976889610290527e-05,0.0003897547721862793,-0.0010182704776525498,0.0007554871588945387,4,0.4,False
ap_flip_sink,"Bystander, anterior-posterior flipped vessel sink",mean_tunel_valley,mean_tunel_valley,a.u.,10,-0.0009359598159790039,0.008074253797531128,-0.01974743813276291,0.010593588352203361,2,0.2,False
blurred_vessel_sink_sigma10mm,"Bystander, blurred vessel sink (10 mm sigma)",cytokine_global_auc,cytokine_global_auc,a.u.,10,17.1299690246582,16.538219451904297,12.812125415802003,21.809583454132078,0,0.0,True
blurred_vessel_sink_sigma10mm,"Bystander, blurred vessel sink (10 mm sigma)",cytokine_valley_roi_auc,cytokine_valley_roi_auc,a.u.,10,252.70220336914062,281.71820068359375,185.03043533325194,313.77576538085935,0,0.0,True
blurred_vessel_sink_sigma10mm,"Bystander, blurred vessel sink (10 mm sigma)",mean_gammah2ax_valley,mean_gammah2ax_valley,a.u.,10,-0.0002656370401382446,-0.0001017451286315918,-0.0005222932249307633,-5.382500588893902e-05,8,0.8,True
blurred_vessel_sink_sigma10mm,"Bystander, blurred vessel sink (10 mm sigma)",mean_tunel_valley,mean_tunel_valley,a.u.,10,0.028653764724731447,0.030235350131988525,0.021448032706975935,0.03550227552652358,0,0.0,True
distance_decay_sink_lambda15mm,"Bystander, distance-decay sink (lambda 15 mm)",cytokine_global_auc,cytokine_global_auc,a.u.,10,10.057204437255859,9.305839538574219,7.190355739593506,12.945468692779535,0,0.0,True
distance_decay_sink_lambda15mm,"Bystander, distance-decay sink (lambda 15 mm)",cytokine_valley_roi_auc,cytokine_valley_roi_auc,a.u.,10,50.19171142578125,33.969970703125,-27.91474182128906,123.75709991455066,4,0.4,False
distance_decay_sink_lambda15mm,"Bystander, distance-decay sink (lambda 15 mm)",mean_gammah2ax_valley,mean_gammah2ax_valley,a.u.,10,-0.0005071401596069336,-0.0003115236759185791,-0.0011057035624980926,-8.559316396713266e-05,7,0.7,True
distance_decay_sink_lambda15mm,"Bystander, distance-decay sink (lambda 15 mm)",mean_tunel_valley,mean_tunel_valley,a.u.,10,0.016661131381988527,0.01904389262199402,0.00393585816025734,0.027665888518095014,1,0.1,True
local_dropout_sink_20mm,"Bystander, local vessel dropout within 20 mm of GTV",cytokine_global_auc,cytokine_global_auc,a.u.,10,-7.072140502929687,-6.736305236816406,-9.745420169830323,-4.459918251037599,10,1.0,True
local_dropout_sink_20mm,"Bystander, local vessel dropout within 20 mm of GTV",cytokine_valley_roi_auc,cytokine_valley_roi_auc,a.u.,10,-152.9861328125,-143.487060546875,-237.2969860839844,-85.732514038086,10,1.0,True
local_dropout_sink_20mm,"Bystander, local vessel dropout within 20 mm of GTV",mean_gammah2ax_valley,mean_gammah2ax_valley,a.u.,10,-0.000872492790222168,-0.0005259811878204346,-0.0015846748650074005,-0.0004151116311550141,10,1.0,True
local_dropout_sink_20mm,"Bystander, local vessel dropout within 20 mm of GTV",mean_tunel_valley,mean_tunel_valley,a.u.,10,-0.02082532048225403,-0.0155123770236969,-0.035318861454725264,-0.011419079154729847,10,1.0,True
no_sink,"Bystander, no vascular sink",cytokine_global_auc,cytokine_global_auc,a.u.,10,-10.468336486816407,-11.15658950805664,-14.365639266967772,-7.076260051727298,10,1.0,True
no_sink,"Bystander, no vascular sink",cytokine_valley_roi_auc,cytokine_valley_roi_auc,a.u.,10,-153.092041015625,-143.5545654296875,-231.0975311279297,-84.367445678711,10,1.0,True
no_sink,"Bystander, no vascular sink",mean_gammah2ax_valley,mean_gammah2ax_valley,a.u.,10,-0.0006131619215011596,-0.0004374682903289795,-0.001334434598684311,-0.0001332581043243408,7,0.7,True
