plan_id,case_label,site_group,model_id,model_label,support_voxels,target_mass_species0,target_mass_species1,dropout_radius_mm,random_seed,shift_voxels_xyz
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,ap_flip_sink,"Bystander, anterior-posterior flipped vessel sink",2030,105.40000915527344,1722.800048828125,,,
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,si_flip_sink,"Bystander, superior-inferior flipped vessel sink",1856,105.40000915527344,1722.800048828125,,,
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,local_dropout_sink_20mm,"Bystander, local vessel dropout within 20 mm of GTV",1663,105.40000915527344,1722.800048828125,20.0,,
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,randomized_displacement_sink,"Bystander, randomized anatomy-constrained vessel displacement",1644,105.40000915527344,1722.800048828125,,376088435,"7,6,-6"
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,uniform_body_sink_mass_matched,"Bystander, uniform body sink (mass matched)",124698,105.40000915527344,1722.800048828125,,,
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,blurred_vessel_sink_sigma10mm,"Bystander, blurred vessel sink (10 mm sigma)",103993,105.40000915527344,1722.800048828125,,,
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,peri_gtv_shell_sink_5_20mm,"Bystander, peri-GTV shell sink (5-20 mm)",24221,105.40000915527344,1722.800048828125,,,
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,distance_decay_sink_lambda15mm,"Bystander, distance-decay sink (lambda 15 mm)",116620,105.40000915527344,1722.800048828125,,,
case02,Left maxillary sinus crescent abutting orbit,sinonasal_midface,ap_flip_sink,"Bystander, anterior-posterior flipped vessel sink",2030,105.40000915527344,1722.800048828125,,,
case02,Left maxillary sinus crescent abutting orbit,sinonasal_midface,si_flip_sink,"Bystander, superior-inferior flipped vessel sink",1856,105.40000915527344,1722.800048828125,,,
case02,Left maxillary sinus crescent abutting orbit,sinonasal_midface,local_dropout_sink_20mm,"Bystander, local vessel dropout within 20 mm of GTV",1462,105.40000915527344,1722.800048828125,20.0,,
case02,Left maxillary sinus crescent abutting orbit,sinonasal_midface,randomized_displacement_sink,"Bystander, randomized anatomy-constrained vessel displacement",1537,105.40000915527344,1722.800048828125,,1454545639,"-6,-3,-5"
case02,Left maxillary sinus crescent abutting orbit,sinonasal_midface,uniform_body_sink_mass_matched,"Bystander, uniform body sink (mass matched)",124698,105.40000915527344,1722.800048828125,,,
case02,Left maxillary sinus crescent abutting orbit,sinonasal_midface,blurred_vessel_sink_sigma10mm,"Bystander, blurred vessel sink (10 mm sigma)",103993,105.40000915527344,1722.800048828125,,,
case02,Left maxillary sinus crescent abutting orbit,sinonasal_midface,peri_gtv_shell_sink_5_20mm,"Bystander, peri-GTV shell sink (5-20 mm)",29774,105.40000915527344,1722.800048828125,,,
case02,Left maxillary sinus crescent abutting orbit,sinonasal_midface,distance_decay_sink_lambda15mm,"Bystander, distance-decay sink (lambda 15 mm)",111681,105.40000915527344,1722.800048828125,,,
case03,Base-of-tongue / oropharynx bilobed central mass,oropharynx_bot,ap_flip_sink,"Bystander, anterior-posterior flipped vessel sink",2030,105.40000915527344,1722.800048828125,,,
case03,Base-of-tongue / oropharynx bilobed central mass,oropharynx_bot,si_flip_sink,"Bystander, superior-inferior flipped vessel sink",1856,105.40000915527344,1722.800048828125,,,
case03,Base-of-tongue / oropharynx bilobed central mass,oropharynx_bot,local_dropout_sink_20mm,"Bystander, local vessel dropout within 20 mm of GTV",462,105.40000915527344,1722.800048828125,20.0,,
case03,Base-of-tongue / oropharynx bilobed central mass,oropharynx_bot,randomized_displacement_sink,"Bystander, randomized anatomy-constrained vessel displacement",1668,105.40000915527344,1722.800048828125,,3795565518,"3,-4,-6"
case03,Base-of-tongue / oropharynx bilobed central mass,oropharynx_bot,uniform_body_sink_mass_matched,"Bystander, uniform body sink (mass matched)",124698,105.40000915527344,1722.800048828125,,,
