plan_id,nominal_no_sink_rank,nominal_with_sink_rank,nominal_with_sink_vs_no_sink_shift,n_repeats,mean_empirical_shift,sd_empirical_shift,fraction_negative_shift,fraction_zero_shift,fraction_positive_shift,probability_same_direction_as_nominal,mean_empirical_risk_delta,sd_empirical_risk_delta
case01,1,1,0,9,1.0,0.0,0.0,0.0,1.0,0.0,0.7514222750302073,0.11068493556574044
case02,3,2,-1,9,0.7777777777777778,0.41573970964154905,0.0,0.2222222222222222,0.7777777777777778,0.0,0.4164800417789551,0.10147551000342875
case03,8,8,0,9,0.1111111111111111,0.5665577237325317,0.1111111111111111,0.6666666666666666,0.2222222222222222,0.6666666666666666,0.14807457556026213,0.06761231550013451
case04,4,4,0,9,-0.4444444444444444,0.4969039949999533,0.4444444444444444,0.5555555555555556,0.0,0.5555555555555556,-2.2442466784636084,0.13774840771127086
case05,5,6,1,9,1.0,0.0,0.0,0.0,1.0,1.0,1.5052328652889657,0.09013424439328177
case06,6,5,-1,9,-1.7777777777777777,0.41573970964154905,1.0,0.0,0.0,1.0,-0.895988289708025,0.19109991085339428
case07,2,3,1,9,0.0,0.0,0.0,1.0,0.0,0.0,-0.4294518319366765,0.1131247950183515
case08,7,7,0,9,0.4444444444444444,0.4969039949999533,0.0,0.5555555555555556,0.4444444444444444,0.5555555555555556,0.5517558300564644,0.14199239951693185
case09,9,9,0,9,-1.0,0.0,1.0,0.0,0.0,0.0,0.09885372564267819,0.11486352426774173
case10,10,10,0,9,-0.1111111111111111,0.5665577237325317,0.2222222222222222,0.6666666666666666,0.1111111111111111,0.6666666666666666,0.09786748675078814,0.10621477719094011
