case_id,case_label,metric,label,units,n_repeats,mean,std,min,max,p2_5,p97_5,mean_ci_lower,mean_ci_upper,coefficient_of_variation_pct
case01,Right sinonasal / maxillary bulky ellipsoid,ptv_d95_gy,PTV D95,Gy,9,3.500000066227383,1.4449109123330268e-07,3.4999998807907104,3.5000003576278687,3.4999998927116396,3.5000003218650817,3.499999980131785,3.5000001655684576,4.128316814263614e-06
case01,Right sinonasal / maxillary bulky ellipsoid,gtv_d95_gy,GTV D95,Gy,9,4.075681569841174,0.015495100022295302,4.048459553718567,4.101851463317871,4.050600643157959,4.0991670560836795,4.065196367435986,4.085495172209209,0.38018426505530795
case01,Right sinonasal / maxillary bulky ellipsoid,peak_mean_gy,Peak mean,Gy,9,13.803878993839605,0.18114629795733503,13.551289699420854,14.109381506879043,13.57157859060087,14.105867973654187,13.694313103494013,13.924296953221498,1.3122854672818922
case01,Right sinonasal / maxillary bulky ellipsoid,valley_mean_gy,Valley mean,Gy,9,6.496564863112503,0.049665382628158936,6.425936862146787,6.564243281047228,6.427591753163292,6.563863223306466,6.465932077553891,6.529035112784729,0.7644868276488548
case01,Right sinonasal / maxillary bulky ellipsoid,pvdr,PVDR,ratio,9,2.1247973682242463,0.022690179417445316,2.099850235935619,2.1606228771668246,2.1001688780589545,2.1604179962826837,2.1108501529779455,2.1392642212327444,1.067874977481177
case01,Right sinonasal / maxillary bulky ellipsoid,spill_shell_0_5_mean_gy,Peri-GTV 0-5 mm mean,Gy,9,5.853922361539673,0.04423678242917761,5.785095886331826,5.921610131739802,5.788684443815127,5.921206106857402,5.825413766551725,5.882690923169887,0.7556776413676701
case01,Right sinonasal / maxillary bulky ellipsoid,spill_shell_5_15_mean_gy,Peri-GTV 5-15 mm mean,Gy,9,4.47455903713022,0.046795403458248,4.4020271318093265,4.564115861476237,4.408350322272226,4.556653349681504,4.44417016514783,4.5068754825147295,1.0458103931568743
case01,Right sinonasal / maxillary bulky ellipsoid,cord_d2_gy,Cord D2,Gy,9,0.9667852862675984,0.02843581671113695,0.915845341682434,1.0116745662689208,0.9207133684158325,1.00791912317276,0.9476371502876282,0.9845423764917584,2.941275287806371
case01,Right sinonasal / maxillary bulky ellipsoid,brainstem_d2_gy,Brainstem D2,Gy,9,3.4190019289652507,0.07984683983985742,3.2739703845977783,3.570342884063721,3.2851186790466307,3.5545821456909183,3.3672606253094144,3.4723973705768585,2.335384463033128
case01,Right sinonasal / maxillary bulky ellipsoid,parotid_r_mean_gy,Parotid R mean,Gy,9,4.432384214015922,0.16455790946678334,4.203783088501053,4.728205150787277,4.213493243805085,4.705238270904079,4.33034066504501,4.541340085761047,3.7126273698571612
