plan_id,case_label,endpoint,label,units,n_repeats,mean_with_sink_minus_no_sink,std_repeat_delta,min_delta,max_delta,p2_5_delta,p97_5_delta,mean_delta_ci_lower,mean_delta_ci_upper,bio_sigma_for_delta,combined_sigma,combined_95pct_noise_band,abs_mean_over_combined_sigma,exceeds_1sigma_noise_band,exceeds_95pct_noise_band,mean_delta_ci_excludes_zero,cohens_dz
case01,Right sinonasal / maxillary bulky ellipsoid,ptv_d95,PTV D95,Gy,9,-0.36353524525960285,0.032884883314823726,-0.4210183620452881,-0.32898736000061035,-0.4186540126800537,-0.32947335243225095,-0.38624149097336663,-0.3427464048067728,0.5595337811511053,0.5604993022296125,1.0985786323700406,0.6485917891663637,False,False,True,-10.422549257153833
case01,Right sinonasal / maxillary bulky ellipsoid,pvdr,PVDR,ratio,9,0.012833614287546627,4.8658636525499044e-05,0.012750460152270326,0.012901552776513503,0.012757566364572037,0.01290083560107953,0.012802112560893326,0.012864777505932453,0.00316735604240918,0.0031677297805044013,0.006208750369788627,4.051360178046221,True,True,True,248.66392588158564
case01,Right sinonasal / maxillary bulky ellipsoid,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,Gy,9,-0.28842496083831726,0.0006198172770284831,-0.28933209852704067,-0.2872618891766656,-0.28925679584248415,-0.28735690788754126,-0.2888251185017255,-0.28803071561493554,0.05447333174673355,0.05447685788522125,0.10677464145503364,5.294449276902268,True,True,True,-438.72552601308297
case01,Right sinonasal / maxillary bulky ellipsoid,spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,Gy,9,-0.2544000915116727,0.0009544031734325759,-0.25545888329483546,-0.252687320941412,-0.25542453184198627,-0.252716341366952,-0.25494641375507693,-0.25372333617551607,0.031243400836048374,0.0312579746819823,0.0612656303766853,8.13872600832049,True,True,True,-251.3096279781531
case01,Right sinonasal / maxillary bulky ellipsoid,cord_d2,Cord D2,Gy,9,-0.08973905351426856,0.011242603350869074,-0.11399707794189418,-0.06907051086425753,-0.11002515411376912,-0.07211181640624993,-0.09756312868330197,-0.08252336925930447,0.0,0.011242603350869074,0.022035502567703383,7.982052796279748,True,True,True,-7.5255515467179395
case01,Right sinonasal / maxillary bulky ellipsoid,brainstem_d2,Brainstem D2,Gy,9,-0.1743666458129892,0.025087900150540698,-0.21468044281006016,-0.1333957672119137,-0.21202761840820478,-0.1367647247314455,-0.19020822493235393,-0.15838355435265491,0.0004912503740486591,0.02509270931751896,0.04918171026233716,6.948896733572399,True,True,True,-6.552738540745523
case01,Right sinonasal / maxillary bulky ellipsoid,parotid_r_mean,Parotid R mean,Gy,9,-0.3784157384793233,0.005744325455740568,-0.38716440393467266,-0.3686520046657993,-0.38680017798838084,-0.3693372578091097,-0.38213975737258116,-0.37471322397056545,0.07278300043907508,0.07300933110127686,0.14309828895850263,5.183114716588674,True,True,True,-62.10890773236379
case02,Left maxillary sinus crescent abutting orbit,ptv_d95,PTV D95,Gy,9,-0.758976666132609,0.024904828831785387,-0.7966725349426262,-0.7200935363769521,-0.7955331134796136,-0.7236131191253655,-0.7752189313040837,-0.7433427858352663,0.5595337811511053,0.5600877634339047,1.0977720163304532,1.3551031029125045,True,False,True,-28.732181538480248
case02,Left maxillary sinus crescent abutting orbit,pvdr,PVDR,ratio,9,0.018233942702588626,6.939964489328796e-05,0.018135381934938577,0.018387667970097832,0.018144664091898344,0.01836854742345877,0.018191785790071423,0.01827962439188955,0.00316735604240918,0.0031681162557736513,0.006209507861316356,5.7554525246220525,True,True,True,247.71201740475323
case02,Left maxillary sinus crescent abutting orbit,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,Gy,9,-0.2713813814447362,0.00033861939581186583,-0.27213536621290046,-0.27080169990514946,-0.27201032525703467,-0.27086536093463354,-0.271616028885877,-0.27117553388838045,0.05447333174673355,0.05447438420656914,0.10676979304487551,4.981816415136456,True,True,True,-755.6000137844504
case02,Left maxillary sinus crescent abutting orbit,spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,Gy,9,-0.22071319916325413,0.0006058871761212104,-0.22153297035767316,-0.2199159947190399,-0.22149841175932145,-0.21992379080001,-0.22109637901289148,-0.22030624592075207,0.031243400836048374,0.031249275112747436,0.06124857922098497,7.062986209021506,True,True,True,-343.4474403300282
case02,Left maxillary sinus crescent abutting orbit,cord_d2,Cord D2,Gy,9,-0.08587554931640638,0.008407029925439404,-0.10506137847900376,-0.07314918518066627,-0.10239196777343729,-0.07458764648437644,-0.09158609453837048,-0.08081769360436306,0.0,0.008407029925439404,0.01647777865386123,10.21473101416586,True,True,True,-9.630540757484292
