plan_id,nominal_no_sink_rank,nominal_with_sink_rank,nominal_with_sink_vs_no_sink_shift,simulated_mean_shift,simulated_shift_sd,simulated_shift_ci_lower,simulated_shift_ci_upper,simulated_probability_same_direction_as_nominal,simulated_probability_nonzero_shift,simulated_mean_risk_delta,simulated_risk_delta_sd,simulated_risk_delta_ci_lower,simulated_risk_delta_ci_upper,noise_qualified_rank_change
case01,1,1,0,0.0,0.0,0.0,0.0,1.0,0.0,-0.13098827558713866,0.3074724224122233,-0.7538879796477513,0.45726331335991,False
case02,3,2,-1,-0.116,0.6910455846035051,-1.0,1.0,0.3035,0.491,-0.29260675559887545,0.31389327090551156,-0.9222237258690218,0.31920628219848646,False
case03,8,8,0,0.326,0.59390571642307,-1.0,1.0,0.5425,0.4575,0.7178297885061473,0.3189597075721324,0.08647079801801692,1.3437127215920162,False
case04,4,4,0,0.0,0.0,0.0,0.0,1.0,0.0,-1.8988032256600877,0.20350916902040345,-2.298996384265543,-1.4975744077342747,False
case05,5,6,1,0.8595,0.35037087493112207,0.0,1.0,0.8595,0.86,0.4794531683700193,0.29481027136331095,-0.10917430664878745,1.0684748679033418,False
case06,6,5,-1,-0.868,0.3654805056360736,-1.0,0.0,0.8595,0.86,-0.9032603366906616,0.40358775012209297,-1.755853199718844,-0.12416895291835206,False
case07,2,3,1,0.116,0.6910455846035051,-1.0,1.0,0.3035,0.491,-0.20832056180087458,0.29508642931004925,-0.782093527934215,0.3696779351516884,False
case08,7,7,0,0.0125,0.11976539567003483,0.0,0.0,0.987,0.013,0.5694299967870886,0.31762866268302703,-0.04423215513525588,1.1940396876813617,False
case09,9,9,0,-0.33,0.5916924876994806,-1.0,1.0,0.544,0.456,0.5100985306262298,0.3224984161864973,-0.11926462818212805,1.1539876217995693,False
case10,10,10,0,0.0,0.0,0.0,0.0,1.0,0.0,1.1571676710481535,0.3218728393813862,0.5443649732135403,1.803498028262128,False
