comparator_id,comparator_label,metric,label,units,n_cases,mean_true_minus_comparator,median_true_minus_comparator,ci_lower,ci_upper,cases_favoring_true_sink,fraction_favoring_true_sink,ci_excludes_zero
ap_flip_sink,"Bystander, anterior-posterior flipped vessel sink",brainstem_d2,Brainstem D2,Gy,10,-0.37480555725097703,-0.31900905609130703,-0.6269115158081051,-0.16124056262970038,9,0.9,True
ap_flip_sink,"Bystander, anterior-posterior flipped vessel sink",oar_adjacent_outside_gtv_mean,OAR-adjacent outside-GTV mean,Gy,10,0.10362324860122474,0.019147488159997117,-0.026050369545672022,0.26688181585673604,3,0.3,False
ap_flip_sink,"Bystander, anterior-posterior flipped vessel sink",outside_gtv_d2,Outside-GTV D2,Gy,10,0.011003425598146776,-0.07914649963378473,-0.23610895700454554,0.28824508914947605,6,0.6,False
ap_flip_sink,"Bystander, anterior-posterior flipped vessel sink",parotid_r_mean,Parotid R mean,Gy,10,-0.3458795745926682,-0.4487750323131845,-0.5414710854159478,-0.12277953465298022,8,0.8,True
ap_flip_sink,"Bystander, anterior-posterior flipped vessel sink",ptv_d95,PTV D95,Gy,10,0.044794759750366175,0.6062125205993656,-1.0955642192363741,0.8046524424552913,8,0.8,False
ap_flip_sink,"Bystander, anterior-posterior flipped vessel sink",pvdr,PVDR,ratio,10,-0.03525484010445097,-0.07339260780788082,-0.13106765586754252,0.06893664194021165,4,0.4,False
ap_flip_sink,"Bystander, anterior-posterior flipped vessel sink",spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,Gy,10,-0.03666771285879058,0.06626290081814545,-0.4511429100735111,0.2191100435349136,2,0.2,False
ap_flip_sink,"Bystander, anterior-posterior flipped vessel sink",spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,Gy,10,0.05915966979941008,0.06292203358200865,0.0012804478881448943,0.11977365779921799,3,0.3,True
blurred_vessel_sink_sigma10mm,"Bystander, blurred vessel sink (10 mm sigma)",brainstem_d2,Brainstem D2,Gy,10,3.3055660629272454,2.973529319763184,2.409448114776611,4.235733921432494,0,0.0,True
blurred_vessel_sink_sigma10mm,"Bystander, blurred vessel sink (10 mm sigma)",oar_adjacent_outside_gtv_mean,OAR-adjacent outside-GTV mean,Gy,10,1.2357528457120417,1.283821066338927,1.1369088050546348,1.3239324132171624,0,0.0,True
