plan_id,comparator_id,comparator_label,nominal_true_rank_minus_comparator_rank,simulated_mean_rank_delta,simulated_rank_delta_sd,simulated_rank_delta_ci_lower,simulated_rank_delta_ci_upper,simulated_probability_same_direction_as_nominal,simulated_probability_true_better,noise_qualified_rank_change
case02,no_sink,"Bystander, no vascular sink",-4.0,0.235,2.9094286380662444,-5.0,5.0,0.459,0.459,False
case02,ap_flip_sink,"Bystander, anterior-posterior flipped vessel sink",-2.0,-1.001,2.741896971076776,-6.0,5.0,0.6625,0.6625,False
case02,si_flip_sink,"Bystander, superior-inferior flipped vessel sink",-3.0,-0.063,2.941433494063736,-5.0,5.0,0.5,0.5,False
case02,local_dropout_sink_20mm,"Bystander, local vessel dropout within 20 mm of GTV",-1.0,0.3105,2.8863627197564754,-5.0,5.0,0.4515,0.4515,False
case02,randomized_displacement_sink,"Bystander, randomized anatomy-constrained vessel displacement",1.0,1.1435,2.840934309342615,-5.0,6.0,0.657,0.343,False
case02,uniform_body_sink_mass_matched,"Bystander, uniform body sink (mass matched)",2.0,1.867,2.656936393668467,-4.0,6.0,0.772,0.228,False
case03,no_sink,"Bystander, no vascular sink",-2.0,-0.364,2.4307414506689105,-5.0,4.0,0.562,0.562,False
case03,ap_flip_sink,"Bystander, anterior-posterior flipped vessel sink",1.0,0.0215,2.504004343047352,-4.0,4.0,0.5125,0.4875,False
case03,si_flip_sink,"Bystander, superior-inferior flipped vessel sink",-3.0,-1.4615,2.32196420084376,-5.0,4.0,0.76,0.76,False
case03,local_dropout_sink_20mm,"Bystander, local vessel dropout within 20 mm of GTV",-1.0,-0.366,2.484963581222067,-5.0,4.0,0.5645,0.5645,False
case03,randomized_displacement_sink,"Bystander, randomized anatomy-constrained vessel displacement",2.0,1.061,2.3373658250261125,-4.0,5.0,0.6895,0.3105,False
case03,uniform_body_sink_mass_matched,"Bystander, uniform body sink (mass matched)",3.0,3.3035,1.5847358612715243,1.0,6.0,0.998,0.002,True
case04,no_sink,"Bystander, no vascular sink",-5.0,-2.616,2.1770493793205516,-6.0,3.0,0.8805,0.8805,False
case04,ap_flip_sink,"Bystander, anterior-posterior flipped vessel sink",-2.0,-1.064,2.34710545140179,-5.0,4.0,0.6905,0.6905,False
case04,si_flip_sink,"Bystander, superior-inferior flipped vessel sink",-3.0,-2.056,2.25873061696166,-5.0,3.0,0.824,0.824,False
case04,local_dropout_sink_20mm,"Bystander, local vessel dropout within 20 mm of GTV",-4.0,-2.572,2.1572704976427968,-6.0,2.0,0.8745,0.8745,False
case04,randomized_displacement_sink,"Bystander, randomized anatomy-constrained vessel displacement",-1.0,-0.86,2.3927808090169895,-5.0,4.0,0.6535,0.6535,False
case04,uniform_body_sink_mass_matched,"Bystander, uniform body sink (mass matched)",1.0,1.503,1.7801660034951796,-2.0,5.0,0.828,0.172,False
case05,no_sink,"Bystander, no vascular sink",-3.0,0.0795,2.560308526330372,-5.0,5.0,0.486,0.486,False
case05,ap_flip_sink,"Bystander, anterior-posterior flipped vessel sink",1.0,0.2115,2.581427463633251,-4.0,5.0,0.54,0.46,False
case05,si_flip_sink,"Bystander, superior-inferior flipped vessel sink",-4.0,-0.868,2.497714154982511,-5.0,4.0,0.653,0.653,False
case05,local_dropout_sink_20mm,"Bystander, local vessel dropout within 20 mm of GTV",-2.0,0.0315,2.6356228391027425,-5.0,5.0,0.499,0.499,False
case05,randomized_displacement_sink,"Bystander, randomized anatomy-constrained vessel displacement",-1.0,-0.014,2.5986157853749754,-5.0,4.0,0.4955,0.4955,False
case05,uniform_body_sink_mass_matched,"Bystander, uniform body sink (mass matched)",2.0,3.398,1.6569840071648247,1.0,6.0,0.999,0.001,True
case06,no_sink,"Bystander, no vascular sink",-3.0,-0.244,2.954058902594869,-5.0,5.0,0.5365,0.5365,False
case06,ap_flip_sink,"Bystander, anterior-posterior flipped vessel sink",1.0,0.33,2.982800697331285,-5.0,5.0,0.5465,0.4535,False
case06,si_flip_sink,"Bystander, superior-inferior flipped vessel sink",-1.0,-0.1065,2.9320910200742403,-5.0,5.0,0.5075,0.5075,False
case06,local_dropout_sink_20mm,"Bystander, local vessel dropout within 20 mm of GTV",-2.0,-0.4125,2.877906139887123,-5.024999999999999,5.0,0.5605,0.5605,False
case06,randomized_displacement_sink,"Bystander, randomized anatomy-constrained vessel displacement",2.0,1.315,2.929978668864332,-5.0,6.0,0.6835,0.3165,False
case06,uniform_body_sink_mass_matched,"Bystander, uniform body sink (mass matched)",3.0,1.3335,2.8765044324666005,-5.0,6.0,0.691,0.309,False
case07,no_sink,"Bystander, no vascular sink",-4.0,-0.5385,2.9721234412453326,-6.0,5.0,0.571,0.571,False
case07,ap_flip_sink,"Bystander, anterior-posterior flipped vessel sink",-2.0,-1.483,2.859494885464914,-6.0,5.0,0.708,0.708,False
case07,si_flip_sink,"Bystander, superior-inferior flipped vessel sink",-1.0,-0.2165,2.906136223579342,-5.0,5.0,0.535,0.535,False
case07,local_dropout_sink_20mm,"Bystander, local vessel dropout within 20 mm of GTV",-3.0,-0.507,2.9363158890010457,-6.0,5.0,0.58,0.58,False
case07,randomized_displacement_sink,"Bystander, randomized anatomy-constrained vessel displacement",1.0,0.1955,2.9225467917554373,-5.0,5.0,0.522,0.478,False
case07,uniform_body_sink_mass_matched,"Bystander, uniform body sink (mass matched)",2.0,0.9745,2.858644740082265,-5.0,6.0,0.647,0.353,False
